,E,B,G
0,9.650182362706305e+12,231601004030.72794,1411683337885.6648
1,2499125266493.885,94805971870.01457,463202005854.93555
2,1047398094164.8652,58671678163.233315,237014908399.42456
3,652372520349.206,51686665916.66887,176014601775.38434
4,570831966261.085,62344466683.68883,180899161202.20056
5,675023998024.2771,100673173608.68707,249293054677.8032
6,1052369699385.0715,218429081090.28455,452212058031.9569
7,2108473853816.24,648267007751.3196,1075522242283.7316
8,5699721898369.113,2998114225398.623,3405292794005.6074
9,16505283650211.652,18381062679736.21,14730545371549.143
10,113111323019836.28,189415291897870.56,88082460687459.34
11,125428976355485.95,1694164520095424.8,687311607039944.0
12,8839321925411938.0,2.429932261475531e+16,6552922341473693.0
13,-2.896533926902404e+16,2.3579329760562614e+17,6.9229875413992296e+16
14,1.245471517806541e+18,3.7717386189143153e+18,7.98193964036394e+17
15,-7.027624014149902e+18,3.7174541333399036e+19,9.41336529143997e+18
16,2.0454892715967935e+20,6.249440533567221e+20,1.1677252580746158e+20
17,-1.3681283447171035e+21,6.17563982906732e+21,1.4411132069237233e+21
18,3.529560627532736e+22,1.0693706219794547e+23,1.8512637300678196e+22
19,-2.5506490291369702e+23,1.0562563280587309e+24,2.338755281552644e+23
20,6.231177099703483e+24,1.8667020174525206e+25,3.0659579153877814e+24
21,-4.701646050842775e+25,1.8414898660557605e+26,3.928753951396391e+25
22,1.1151903409391547e+27,3.304456424963952e+27,5.2198832054132714e+26
23,-8.647019074474913e+27,3.255206485037763e+28,6.753459818785026e+27
24,2.014889000255641e+29,5.911746696652384e+29,9.059756912253678e+28
25,-1.591733563847834e+30,5.815624376683089e+30,1.180368528987047e+30
26,3.666794234908342e+31,1.0665085054297253e+32,1.5950913415822722e+31
27,-2.9361140736115268e+32,1.0478314198929095e+33,2.0893169626463522e+32
28,6.711744589026451e+33,1.9372293318469743e+34,2.839761559308015e+33
29,-5.429395072578981e+34,1.9011001697184737e+35,3.735380496704515e+34
30,1.234447362730145e+36,3.5389991577121826e+36,5.100966920251935e+35
31,-1.0065650936084761e+37,3.4693639045865e+37,6.732819607926854e+36
32,2.27974983151748e+38,6.4967191928899654e+38,9.230184005262112e+37
33,-1.8707595747154464e+39,6.362872556791954e+39,1.2217819968586065e+39
34,4.2251442845933786e+40,1.1976612120867808e+41,1.6805121023647973e+40
35,-3.485193246224668e+41,1.1719857080581428e+42,2.2298304309759115e+41
36,7.855026640912862e+42,2.2160005577400177e+43,3.075749136841155e+42
37,-6.507371205198385e+43,2.166816917508893e+44,4.08957526140142e+43
38,1.464377793232974e+45,4.113525090648798e+45,5.6549213551587605e+44
39,-1.2175566930422714e+46,4.019399172080538e+46,7.532372552562879e+45
40,2.7367299007702446e+47,7.65793430543375e+47,1.043802431033543e+47
41,-2.2825201998637013e+48,7.477909037663061e+48,1.3925312191461183e+48
42,5.125995551063655e+49,1.4293290609885908e+50,1.9333999884202386e+49
43,-4.286693742426379e+50,1.3949094901356294e+51,2.58291686723357e+50
44,9.620595456078665e+51,2.674026031079259e+52,3.5922581393967885e+51
