,phi,dphi,delta,rhoChi,kh,t,N,a,E,B,G,H,sigmaE,sigmaB,s,xi,xieff
0,15.55,-0.12844042552976434,1.0,0.0,3.211010638244109,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.6055053191220543,-1.6055053191220543
1,15.55,-0.12844042552976434,1.0,7.288402429045443e-81,3.211010638244109,4.447813774831228e-32,4.447813774831227e-32,1.0,2.2960562423361096e-31,3.7061539456661854e-31,-5.8098149037476e-32,1.0,1.7853852545442876e-18,0.0,8.926926272721438e-19,-1.6055053191220543,-1.6055053191220543
2,15.55,-0.12844042552976434,1.0,2.953694507770761e-78,3.211010638244109,4.8925951523143515e-31,4.892595152314351e-31,1.0,2.5256618665697212e-30,4.076769340232805e-30,-6.3907963941223615e-31,1.0,5.9852243058444184e-18,0.0,2.9926121529222096e-18,-1.6055053191220543,-1.6055053191220543
3,15.55,-0.12844042552976434,1.0,9.653645303637006e-76,3.211010638244109,4.9370732900626644e-30,4.937073290062664e-30,1.0,2.5486224289930825e-29,4.1138308796894674e-29,-6.448894543159838e-30,1.0,1.9211533891647716e-17,0.0,9.605766945823858e-18,-1.6055053191220543,-1.6055053191220543
4,15.55,-0.12844042552976434,1.0,3.091679978670563e-73,3.211010638244109,4.9415211038374956e-29,4.9415211038374945e-29,1.0,2.550918485235418e-28,4.117537033635133e-28,-6.454704358063585e-29,1.0,6.141712562165818e-17,0.0,3.070856281082909e-17,-1.6055053191220543,-1.6055053191220543
5,15.55,-0.12844042552976434,1.0,9.882087030050946e-71,3.211010638244109,4.941965885214979e-28,4.941965885214978e-28,1.0,2.5511480908596517e-27,4.1179076490296996e-27,-6.45528533955396e-28,1.0,1.9627775152231246e-16,0.0,9.813887576115622e-17,-1.6055053191220543,-1.6055053191220543
6,15.55,-0.12844042552976434,1.0,3.158252753786812e-68,3.211010638244109,4.942010363352727e-27,4.9420103633527265e-27,1.0,2.5511710514220756e-26,4.117944710569156e-26,-6.455343437702996e-27,1.0,6.272881486573152e-16,0.0,3.136440743286576e-16,-1.6055053191220543,-1.6055053191220543
7,15.55,-0.12844042552976434,1.0,1.0094128722639526e-65,3.211010638244109,4.942014811166502e-26,4.942014811166501e-26,1.0,2.551173347478318e-25,4.117948416723102e-25,-6.455349247517896e-26,1.0,2.004905668056037e-15,0.0,1.0024528340280185e-15,-1.6055053191220543,-1.6055053191220543
8,15.55,-0.12844042552976434,1.0,3.2264350488290857e-63,3.211010638244109,4.942015255947879e-25,4.942015255947878e-25,1.0,2.5511735770839423e-24,4.117948787338496e-24,-6.455349828499378e-25,1.0,6.408460649278176e-15,0.0,3.2042303246390878e-15,-1.6055053191220543,-1.6055053191220543
9,15.55,-0.12844042552976434,1.0,1.0313603118336957e-60,3.211010638244109,4.9420153004260174e-24,4.942015300426017e-24,1.0,2.5511736000445028e-23,4.117948824400038e-23,-6.455349886597497e-24,1.0,2.0485522898966666e-14,0.0,1.0242761449483333e-14,-1.6055053191220543,-1.6055053191220543
