,phi,dphi,delta,rhoChi,kh,t,N,a,E,B,G,kS,H,sigmaE,sigmaB,s,xi,xieff
0,1.555e+01,-0.12844042552976434,1.0,0.0,3.211010638244109,0.0,0.0,1.0,0.0,0.0,0.0,3.211010638244109,1.0,0.0,0.0,0.0,-1.6055053191220543,-1.6055053191220543
1,15.55,-0.12844042552976434,1.0,5.077724028876335e-81,3.211010638244109,3.8501063977243546e-32,3.8501063977243535e-32,1.0,1.987506958626799e-31,3.2081125108935524e-31,-5.029078703134712e-32,3.211010638244109,1.0,1.6600305853835657e-18,0.0,0.0,-1.6055053191220543,-1.6055053191220543
2,15.55,-0.12844042552976434,1.0,2.0577865745131902e-78,3.211010638244109,4.23511703749679e-31,4.235117037496789e-31,1.0,2.186257654489479e-30,3.528923761982908e-30,-5.531986573448183e-31,3.211010638244109,1.0,5.564966810591335e-18,0.0,0.0,-1.6055053191220543,-1.6055053191220543
3,15.55,-0.12844042552976434,1.0,6.725493270709914e-76,3.211010638244109,4.2736181014740335e-30,4.273618101474033e-30,1.0,2.206132724075747e-29,3.5610048870918435e-29,-5.582277360479531e-30,3.211010638244109,1.0,1.7862499717749046e-17,0.0,0.0,-1.6055053191220543,-1.6055053191220543
4,15.55,-0.12844042552976434,1.0,2.1538991685703222e-73,3.211010638244109,4.277468207871758e-29,4.277468207871757e-29,1.0,2.2081202310343737e-28,3.5642129996027367e-28,-5.587306439182665e-29,3.211010638244109,1.0,5.710415461939857e-17,0.0,0.0,-1.6055053191220543,-1.6055053191220543
5,15.55,-0.12844042552976434,1.0,6.884580983334945e-71,3.211010638244109,4.277853218511531e-28,4.27785321851153e-28,1.0,2.208318981730237e-27,3.564533810853827e-27,-5.587809347052979e-28,3.211010638244109,1.0,1.8249345450475552e-16,0.0,0.0,-1.6055053191220543,-1.6055053191220543
6,15.55,-0.12844042552976434,1.0,2.2002584491892845e-68,3.211010638244109,4.277891719575509e-27,4.277891719575508e-27,1.0,2.2083388567998233e-26,3.5645658919789356e-26,-5.587859637840011e-27,3.211010638244109,1.0,5.832319014615198e-16,0.0,0.0,-1.6055053191220543,-1.6055053191220543
7,15.55,-0.12844042552976434,1.0,7.032238622692959e-66,3.211010638244109,4.277895569681906e-26,4.2778955696819056e-26,1.0,2.2083408443067816e-25,3.564569100091447e-25,-5.587864666918715e-26,3.211010638244109,1.0,1.864086552628203e-15,0.0,0.0,-1.6055053191220543,-1.6055053191220543
8,15.55,-0.12844042552976434,1.0,2.2477375679540446e-63,3.211010638244109,4.277895954692547e-25,4.277895954692546e-25,1.0,2.2083410430574778e-24,3.564569420902698e-24,-5.587865169826585e-25,3.211010638244109,1.0,5.958319173981231e-15,0.0,0.0,-1.6055053191220543,-1.6055053191220543
9,15.55,-0.12844042552976434,1.0,7.1850696046628e-61,3.211010638244109,4.277895993193611e-24,4.27789599319361e-24,1.0,2.2083410629325478e-23,3.5645694529838237e-23,-5.587865220117372e-24,3.211010638244109,1.0,1.904649107155732e-14,0.0,0.0,-1.6055053191220543,-1.6055053191220543
