,phi,dphi,delta,rhoChi,kh,t,N,a,E,B,G,khO,khE,H,sigmaE,sigmaB,kS,s,xi,xieff,sigmaEkh,sigmaBkh,skh,xieffkh
0,1.555e+01,-0.12844042552976434,1.0,0.0,3.211010638244109,0.0,0.0,1.0,0.0,0.0,0.0,3.211010638244109,3.211010638244109,1.0,0.0,0.0,1.3577796090988034e+25,0.0,-1.6055053191220543,-1.6055053191220543,0.0,0.0,0.0,-1.6055053191220543
1,15.55,-0.12844042552976434,1.0,0.0,3.211010638244109,1.6159839581133096e-32,1.6159839581133093e-32,1.0,9.674544554901215e-32,1.5616059752172974e-31,-2.447993742733734e-32,3.211010638244109,3.211010638244109,1.0,1.154482286925261e-18,0.0,1.0725886823566223e-08,0.0,-1.6055053191220543,-1.6055053191220543,0.0,0.0,0.0,-1.6055053191220543
2,15.55,-0.12844042552976434,1.0,0.0,3.211010638244109,4.0132930433717414e-32,4.013293043371741e-32,1.0,2.2049964859510426e-31,3.5591708408122075e-31,-5.579402285788677e-32,3.211010638244109,3.211010638244109,1.0,1.7493085059848424e-18,0.0,1.3186897420230993e-08,0.0,-1.6055053191220543,-1.6055053191220543,0.0,0.0,0.0,-1.6055053191220543
3,15.55,-0.12844042552976434,1.0,0.0,3.211010638244109,2.798638389595606e-31,2.7986383895956055e-31,1.0,1.4580416790560251e-30,2.3534819496761307e-30,-3.6893487716338112e-31,3.211010638244109,3.211010638244109,1.0,4.536375053012107e-18,0.0,2.117597383261015e-08,0.0,-1.6055053191220543,-1.6055053191220543,0.0,0.0,0.0,-1.6055053191220543
4,15.55,-0.12844042552976434,1.0,0.0,3.211010638244109,2.6771729242179922e-30,2.6771729242179915e-30,1.0,1.3833461983665234e-29,2.2329130605625226e-29,-3.500343420218324e-30,3.211010638244109,3.211010638244109,1.0,1.4114900496033265e-17,0.0,3.722759894347247e-08,0.0,-1.6055053191220543,-1.6055053191220543,0.0,0.0,0.0,-1.6055053191220543
5,15.55,-0.12844042552976434,1.0,0.0,3.211010638244109,2.665026377680231e-29,2.6650263776802306e-29,1.0,1.3758766502975733e-28,2.2208561716511623e-28,-3.4814428850767754e-29,3.211010638244109,3.211010638244109,1.0,4.497935720839834e-17,0.0,6.622607761833166e-08,0.0,-1.6055053191220543,-1.6055053191220543,0.0,0.0,0.0,-1.6055053191220543
6,15.55,-0.12844042552976434,1.0,0.0,3.211010638244109,2.6638117230264553e-28,2.663811723026455e-28,1.0,1.3751296954906784e-27,2.219650482760026e-27,-3.4795528315626213e-28,3.211010638244109,3.211010638244109,1.0,1.436969538550488e-16,0.0,1.1795837471652669e-07,0.0,-1.6055053191220543,-1.6055053191220543,0.0,0.0,0.0,-1.6055053191220543
7,15.55,-0.12844042552976434,1.0,0.0,3.211010638244109,2.6636902575610776e-27,2.663690257561077e-27,1.0,1.3750550000099887e-26,2.2195299138709125e-26,-3.479363826211205e-27,3.211010638244109,3.211010638244109,1.0,4.592202332686389e-16,0.0,2.1012953058750878e-07,0.0,-1.6055053191220543,-1.6055053191220543,0.0,0.0,0.0,-1.6055053191220543
8,15.55,-0.12844042552976434,1.0,0.0,3.211010638244109,2.66367811101454e-26,2.663678111014539e-26,1.0,1.37504753046192e-25,2.2195178569820013e-25,-3.479344925676064e-26,3.211010638244109,3.211010638244109,1.0,1.4677013200931981e-15,0.0,3.743312996933038e-07,0.0,-1.6055053191220543,-1.6055053191220543,0.0,0.0,0.0,-1.6055053191220543
9,15.55,-0.12844042552976434,1.0,0.0,3.211010638244109,2.663676896359886e-25,2.6636768963598854e-25,1.0,1.375046783507113e-24,2.2195166512931102e-24,-3.47934303562255e-25,3.211010638244109,3.211010638244109,1.0,4.691248025119699e-15,0.0,6.668547071927444e-07,0.0,-1.6055053191220543,-1.6055053191220543,0.0,0.0,0.0,-1.6055053191220543
10,15.55,-0.12844042552976434,1.0,0.0,3.211010638244109,2.6636767748944203e-24,2.66367677489442e-24,1.0,1.375046708811632e-23,2.2195165307242208e-23,-3.479342846617198e-24,3.211010638244109,3.211010638244109,1.0,1.4995904085254768e-14,0.0,1.1879876533425538e-06,0.0,-1.6055053191220543,-1.6055053191220543,0.0,0.0,0.0,-1.6055053191220543
11,15.55,-0.12844042552976434,1.0,0.0,3.211010638244109,2.663676762747874e-23,2.6636767627478734e-23,1.0,1.3750467013420842e-22,2.2195165186673323e-22,-3.479342827716663e-23,3.211010638244109,3.211010638244109,1.0,4.7939207580961226e-14,0.0,2.116402631527874e-06,0.0,-1.6055053191220543,-1.6055053191220543,0.0,0.0,0.0,-1.6055053191220543
12,15.55,-0.12844042552976434,1.0,0.0,3.211010638244109,2.663676761533219e-22,2.6636767615332183e-22,1.0,1.3750467005951291e-21,2.2195165174616427e-21,-3.479342825826609e-22,3.211010638244109,3.211010638244109,1.0,1.5326516993757935e-13,0.0,3.7704257795513477e-06,0.0,-1.6055053191220543,-1.6055053191220543,0.0,0.0,0.0,-1.6055053191220543
13,15.55,-0.12844042552976434,1.0,0.0,3.211010638244109,2.6636767614117534e-21,2.663676761411753e-21,1.0,1.3750467005204338e-20,2.2195165173410738e-20,-3.479342825637604e-21,3.211010638244109,3.211010638244109,1.0,4.900394222503572e-13,0.0,6.717200642379681e-06,0.0,-1.6055053191220543,-1.6055053191220543,0.0,0.0,0.0,-1.6055053191220543
14,15.55,-0.12844042552976434,1.0,0.0,3.211010638244109,2.663676761399607e-20,2.6636767613996064e-20,1.0,1.3750467005129642e-19,2.219516517329017e-19,-3.4793428256187034e-20,3.211010638244109,3.211010638244109,1.0,1.5669459360111922e-12,0.0,1.1967189084475558e-05,0.0,-1.6055053191220543,-1.6055053191220543,0.0,0.0,0.0,-1.6055053191220543
15,15.55,-0.12844042552976434,1.0,0.0,3.211010638244109,2.663676761398392e-19,2.6636767613983916e-19,1.0,1.375046700512217e-18,2.2195165173278113e-18,-3.479342825616813e-19,3.211010638244109,3.211010638244109,1.0,5.0108681964957844e-12,0.0,2.132072560500197e-05,0.0,-1.6055053191220543,-1.6055053191220543,0.0,0.0,0.0,-1.6055053191220543
16,15.55,-0.12844042552976434,1.0,0.0,3.211010638244109,2.6636767613982706e-18,2.6636767613982706e-18,1.0,1.3750467005121425e-17,2.219516517327691e-17,-3.479342825616624e-18,3.211010638244109,3.211010638244109,1.0,1.6025384595526943e-11,0.0,3.798550412159413e-05,0.0,-1.6055053191220543,-1.6055053191220543,0.0,0.0,0.0,-1.6055053191220543
17,15.55,-0.12844042552976434,1.0,0.0,3.211010638244109,2.6636767613982586e-17,2.663676761398258e-17,1.0,1.3750467005121348e-16,2.2195165173276787e-16,-3.4793428256166053e-17,3.211010638244109,3.211010638244109,1.0,5.125556321999583e-11,0.0,6.767682656495313e-05,0.0,-1.6055053191220543,-1.6055053191220543,0.0,0.0,0.0,-1.6055053191220543
18,15.55,-0.12844042552976434,1.0,0.0,3.2110106382441095,2.663676761398257e-16,2.6636767613982567e-16,1.0000000000000002,1.3750467005121338e-15,2.219516517327677e-15,-3.4793428256166046e-16,3.2110106382441095,3.2110106382441095,1.0,1.6394991367351055e-10,0.0,0.00012057807597880677,0.0,-1.6055053191220543,-1.6055053191220543,0.0,0.0,0.0,-1.6055053191220543
19,15.55,-0.12844042552976434,1.0,0.0,3.2110106382441175,2.6636767613982573e-15,2.6636767613982565e-15,1.0000000000000027,1.3750467005121281e-14,2.21951651732767e-14,-3.4793428256166034e-15,3.2110106382441175,3.2110106382441175,1.0,5.244687138744875e-10,0.0,0.00021483403332899802,0.0,-1.6055053191220543,-1.6055053191220543,0.0,0.0,0.0,-1.6055053191220543
20,15.549999999999997,-0.12844042552976434,1.0,0.0,3.2110106382441947,2.6636767613982574e-14,2.6636767613982568e-14,1.0000000000000266,1.375046700512074e-13,2.219516517327602e-13,-3.479342825616602e-14,3.2110106382441947,3.2110106382441947,0.9999999999999998,1.6779027438718796e-09,0.0,0.0003827756315261361,0.0,-1.6055053191220545,-1.6055053191220545,0.0,0.0,0.0,-1.6055053191220545
21,15.549999999999967,-0.1284404255297642,1.0,0.0,3.2110106382449644,2.663676761398257e-13,2.663676761398254e-13,1.0000000000002665,1.3750467005115385e-12,2.2195165173269283e-12,-3.479342825616603e-13,3.2110106382449644,3.2110106382449644,0.9999999999999979,5.368505372315923e-09,0.0,0.0006820120526420738,0.0,-1.6055053191220559,-1.6055053191220559,0.0,0.0,0.0,-1.6055053191220559
22,15.54999999999966,-0.12844042552976292,1.0,0.0,3.2110106382526626,2.6636767613982564e-12,2.6636767613982273e-12,1.0000000000026636,1.3750467005061826e-11,2.2195165173201887e-11,-3.4793428256165953e-12,3.2110106382526626,3.2110106382526626,0.999999999999978,1.7178293951500115e-08,0.0,0.0012151964421222175,0.0,-1.6055053191220718,-1.6055053191220718,0.0,0.0,0.0,-1.6055053191220718
23,15.549999999996581,-0.1284404255297502,1.0,0.0,3.211010638329641,2.6636767613982564e-11,2.6636767613979636e-11,1.0000000000266367,1.3750467004526243e-10,2.2195165172527992e-10,-3.479342825616527e-11,3.211010638329641,3.211010638329641,0.9999999999997804,5.4972733575041135e-08,0.0,0.0021652483011644734,0.0,-1.6055053191222304,-1.6055053191222304,0.0,0.0,0.0,-1.6055053191222304
24,15.54999999996579,-0.12844042552962315,1.0,0.0,3.2110106390994186,2.663676761398256e-10,2.66367676139533e-10,1.0000000002663676,1.375046699917034e-09,2.2195165165788856e-09,-3.479342825615816e-10,3.2110106390994186,3.2110106390994186,0.9999999999978031,1.7593650155667832e-07,0.0,0.00385812069499901,0.0,-1.6055053191238164,-1.6055053191238164,0.0,0.0,0.0,-1.6055053191238164
25,15.549999999657878,-0.1284404255283524,1.0,0.0,3.2110106467972033,2.663676761398256e-09,2.6636767613689943e-09,1.0000000026636768,1.3750466945611297e-08,2.219516509839762e-08,-3.4793428256087174e-09,3.2110106467972033,3.2110106467972046,0.9999999999780288,5.631272603065159e-07,0.0,0.006874655033343562,0.0,-1.6055053191396798,-1.6055053191396798,0.0,0.0,0.0,-1.6055053191396798
