,phi,dphi,delta,rhoChi,kh,t,N,a,E,B,G,H,sigmaE,sigmaB,s,xi,xieff
0,1.555e+01,-0.12844042552976434,1.0,0.0,3.211010638244109,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.6055053191220543,-1.6055053191220543
1,15.55,-0.12844042552976434,1.0,2.282077948258307e-170,3.211010638244109,1.5248407405470856e-67,1.5248407405470853e-67,1.0,7.871552808063332e-67,1.270578044222539e-66,-1.991774590564584e-67,1.0,0.0,1.8790721420009373e-36,0.0,-1.6055053191220543,-1.6055053191220543
2,15.55,-0.12844042552976434,1.0,9.229005112359316e-168,3.211010638244109,1.677324814601794e-66,1.6773248146017938e-66,1.0,8.658708088869664e-66,1.3976358486447926e-65,-2.1909520496210422e-66,1.0,0.0,6.286108447441939e-36,0.0,-1.6055053191220543,-1.6055053191220543
3,15.55,-0.12844042552976434,1.0,3.0101906586719602e-165,3.211010638244109,1.6925732220072648e-65,1.6925732220072644e-65,1.0,8.737423616950297e-65,1.410341629087018e-64,-2.2108697955266877e-65,1.0,0.0,2.0136080464029278e-35,0.0,-1.6055053191220543,-1.6055053191220543
4,15.55,-0.12844042552976434,1.0,9.620609259990555e-163,3.211010638244109,1.694098062747812e-64,1.6940980627478117e-64,1.0,8.74529516975836e-64,1.4116122071312405e-63,-2.2128615701172525e-64,1.0,0.0,6.424004257808883e-35,0.0,-1.6055053191220543,-1.6055053191220543
5,15.55,-0.12844042552976434,1.0,3.0686764839889716e-160,3.211010638244109,1.6942505468218666e-63,1.6942505468218664e-63,1.0,8.746082325039167e-63,1.411739264935663e-62,-2.2130607475763087e-63,1.0,0.0,2.048706839751645e-34,0.0,-1.6055053191220543,-1.6055053191220543
6,15.55,-0.12844042552976434,1.0,9.78660852102158e-158,3.211010638244109,1.6942657952292722e-62,1.6942657952292718e-62,1.0,8.74616104056725e-62,1.411751970716105e-61,-2.2130806653222144e-62,1.0,0.0,6.53366271669552e-34,0.0,-1.6055053191220543,-1.6055053191220543
7,15.55,-0.12844042552976434,1.0,3.121226864844624e-155,3.211010638244109,1.6942673200700128e-61,1.6942673200700124e-61,1.0,8.746168912120056e-61,1.411753241294149e-60,-2.213082657096805e-61,1.0,0.0,2.0837839200319988e-33,0.0,-1.6055053191220543,-1.6055053191220543
8,15.55,-0.12844042552976434,1.0,9.954939422311254e-153,3.211010638244109,1.6942674725540868e-60,1.6942674725540866e-60,1.0,8.746169699275337e-60,1.4117533683519538e-59,-2.2130828562742643e-60,1.0,0.0,6.646141184847984e-33,0.0,-1.6055053191220543,-1.6055053191220543
9,15.55,-0.12844042552976434,1.0,3.17521476471691e-150,3.211010638244109,1.6942674878024944e-59,1.694267487802494e-59,1.0,8.746169777990866e-59,1.4117533810577343e-58,-2.2130828761920107e-59,1.0,0.0,2.1198628018630165e-32,0.0,-1.6055053191220543,-1.6055053191220543
10,15.55,-0.12844042552976434,1.0,1.0128126388077888e-147,3.211010638244109,1.6942674893273353e-58,1.694267489327335e-58,1.0,8.746169785862419e-58,1.4117533823283124e-57,-2.213082878183785e-58,1.0,0.0,6.761880923674802e-32,0.0,-1.6055053191220543,-1.6055053191220543
11,15.55,-0.12844042552976434,1.0,3.230776385450376e-145,3.211010638244109,1.6942674894798194e-57,1.694267489479819e-57,1.0,8.746169786649574e-57,1.4117533824553703e-56,-2.2130828783829626e-57,1.0,0.0,2.1569948498704763e-31,0.0,-1.6055053191220543,-1.6055053191220543
12,15.55,-0.12844042552976434,1.0,1.0306393576989984e-142,3.211010638244109,1.6942674894950677e-56,1.6942674894950674e-56,1.0,8.74616978672829e-56,1.411753382468076e-55,-2.2130828784028804e-56,1.0,0.0,6.8810193307652675e-31,0.0,-1.6055053191220543,-1.6055053191220543
13,15.55,-0.12844042552976434,1.0,3.2879775284811734e-140,3.211010638244109,1.6942674894965925e-55,1.6942674894965922e-55,1.0,8.746169786736162e-55,1.4117533824693465e-54,-2.2130828784048722e-55,1.0,0.0,2.1952237224070145e-30,0.0,-1.6055053191220543,-1.6055053191220543
14,15.55,-0.12844042552976434,1.0,1.048995235803662e-137,3.211010638244109,1.694267489496745e-54,1.6942674894967448e-54,1.0,8.746169786736949e-54,1.4117533824694737e-53,-2.2130828784050715e-54,1.0,0.0,7.003697822652311e-30,0.0,-1.6055053191220543,-1.6055053191220543
15,15.55,-0.12844042552976434,1.0,3.3468867418841355e-135,3.211010638244109,1.6942674894967605e-53,1.6942674894967602e-53,1.0,8.746169786737028e-53,1.4117533824694867e-52,-2.2130828784050914e-53,1.0,0.0,2.2345953206066733e-29,0.0,-1.6055053191220543,-1.6055053191220543
16,15.55,-0.12844042552976434,1.0,1.067902527722904e-132,3.211010638244109,1.694267489496762e-52,1.6942674894967616e-52,1.0,8.746169786737035e-52,1.411753382469488e-51,-2.2130828784050937e-52,1.0,0.0,7.130065436571226e-29,0.0,-1.6055053191220543,-1.6055053191220543
17,15.55,-0.12844042552976434,1.0,3.4075762946121837e-130,3.211010638244109,1.6942674894967624e-51,1.694267489496762e-51,1.0,8.746169786737037e-51,1.411753382469488e-50,-2.2130828784050938e-51,1.0,0.0,2.2751580440918147e-28,0.0,-1.6055053191220543,-1.6055053191220543
18,15.55,-0.12844042552976434,1.0,1.0873847057825563e-127,3.211010638244109,1.6942674894967625e-50,1.6942674894967622e-50,1.0,8.746169786737038e-50,1.411753382469488e-49,-2.213082878405094e-50,1.0,0.0,7.260279374714797e-28,0.0,-1.6055053191220543,-1.6055053191220543
19,15.55,-0.12844042552976434,1.0,3.470122434972461e-125,3.211010638244109,1.6942674894967625e-49,1.6942674894967621e-49,1.0,8.74616978673704e-49,1.411753382469488e-48,-2.213082878405094e-49,1.0,0.0,2.3169629603839733e-27,0.0,-1.6055053191220543,-1.6055053191220543
20,15.55,-0.12844042552976434,1.0,1.107466542748208e-122,3.211010638244109,1.6942674894967623e-48,1.694267489496762e-48,1.0,8.746169786737039e-48,1.4117533824694882e-47,-2.213082878405094e-48,1.0,0.0,7.394505558055066e-27,0.0,-1.6055053191220543,-1.6055053191220543
21,15.55,-0.12844042552976434,1.0,3.534605661838236e-120,3.211010638244109,1.6942674894967622e-47,1.694267489496762e-47,1.0,8.746169786737037e-47,1.411753382469488e-46,-2.213082878405094e-47,1.0,0.0,2.3600639868844684e-26,0.0,-1.6055053191220543,-1.6055053191220543
22,15.55,-0.12844042552976434,1.0,1.128174200984371e-117,3.211010638244109,1.6942674894967623e-46,1.694267489496762e-46,1.0,8.746169786737037e-46,1.411753382469488e-45,-2.2130828784050937e-46,1.0,0.0,7.532919224739485e-26,0.0,-1.6055053191220543,-1.6055053191220543
23,15.55,-0.12844042552976434,1.0,3.601111017890896e-115,3.211010638244109,1.6942674894967623e-45,1.694267489496762e-45,1.0,8.746169786737038e-45,1.411753382469488e-44,-2.213082878405094e-45,1.0,0.0,2.4045180876971963e-25,0.0,-1.6055053191220543,-1.6055053191220543
24,15.55,-0.12844042552976434,1.0,1.1495353289262033e-112,3.211010638244109,1.6942674894967622e-44,1.694267489496762e-44,1.0,8.746169786737037e-44,1.4117533824694879e-43,-2.213082878405094e-44,1.0,0.0,7.675705577633159e-25,0.0,-1.6055053191220543,-1.6055053191220543
25,15.55,-0.12844042552976434,1.0,3.669728407073343e-110,3.211010638244109,1.6942674894967623e-43,1.6942674894967619e-43,1.0,8.746169786737037e-43,1.4117533824694879e-42,-2.213082878405094e-43,1.0,0.0,2.450385486720273e-24,0.0,-1.6055053191220543,-1.6055053191220543
26,15.55,-0.12844042552976434,1.0,1.1715791655675209e-107,3.211010638244109,1.694267489496762e-42,1.6942674894967617e-42,1.0,8.746169786737037e-42,1.4117533824694878e-41,-2.2130828784050933e-42,1.0,0.0,7.823060485728047e-24,0.0,-1.6055053191220543,-1.6055053191220543
27,15.55,-0.12844042552976434,1.0,3.740552938591877e-105,3.211010638244109,1.694267489496762e-41,1.6942674894967618e-41,1.0,8.746169786737036e-41,1.4117533824694877e-40,-2.2130828784050935e-41,1.0,0.0,2.49772989857825e-23,0.0,-1.6055053191220543,-1.6055053191220543
28,15.55,-0.12844042552976434,1.0,1.1943366537436926e-102,3.211010638244109,1.694267489496762e-40,1.6942674894967615e-40,1.0,8.746169786737036e-40,1.4117533824694876e-39,-2.2130828784050935e-40,1.0,0.0,7.975191244656503e-23,0.0,-1.6055053191220543,-1.6055053191220543
29,15.55,-0.12844042552976434,1.0,3.8136853000618136e-100,3.211010638244109,1.694267489496762e-39,1.6942674894967617e-39,1.0,8.746169786737037e-39,1.4117533824694877e-38,-2.2130828784050936e-39,1.0,0.0,2.546618779140816e-22,0.0,-1.6055053191220543,-1.6055053191220543
30,15.55,-0.12844042552976434,1.0,1.217840563074759e-97,3.211010638244109,1.694267489496762e-38,1.6942674894967618e-38,1.0,8.746169786737036e-38,1.4117533824694877e-37,-2.2130828784050936e-38,1.0,0.0,8.13231740213126e-22,0.0,-1.6055053191220543,-1.6055053191220543
31,15.55,-0.12844042552976434,1.0,3.889232162683258e-95,3.211010638244109,1.6942674894967622e-37,1.6942674894967616e-37,1.0,8.746169786737037e-37,1.4117533824694879e-36,-2.2130828784050935e-37,1.0,0.0,2.597123597570112e-21,0.0,-1.6055053191220543,-1.6055053191220543
32,15.55,-0.12844042552976434,1.0,1.2421256235319407e-92,3.211010638244109,1.694267489496762e-36,1.6942674894967617e-36,1.0,8.746169786737037e-36,1.4117533824694878e-35,-2.2130828784050935e-36,1.0,0.0,8.294671654792634e-21,0.0,-1.6055053191220543,-1.6055053191220543
33,15.55,-0.12844042552976434,1.0,3.967306621661998e-90,3.211010638244109,1.6942674894967622e-35,1.694267489496762e-35,1.0,8.746169786737037e-35,1.411753382469488e-34,-2.2130828784050937e-35,1.0,0.0,2.6493201320599855e-20,0.0,-1.6055053191220543,-1.6055053191220543
34,15.55,-0.12844042552976434,1.0,1.267228670700956e-87,3.211010638244109,1.6942674894967624e-34,1.6942674894967617e-34,1.0,8.746169786737038e-34,1.411753382469488e-33,-2.2130828784050936e-34,1.0,0.0,8.462500823686569e-20,0.0,-1.6055053191220543,-1.6055053191220543
35,15.55,-0.12844042552976434,1.0,4.048028675460874e-85,3.211010638244109,1.6942674894967623e-33,1.694267489496762e-33,1.0,8.746169786737037e-33,1.4117533824694878e-32,-2.2130828784050937e-33,1.0,0.0,2.703288791680156e-19,0.0,-1.6055053191220543,-1.6055053191220543
36,15.55,-0.12844042552976434,1.0,1.293188803940222e-82,3.211010638244109,1.6942674894967623e-32,1.694267489496762e-32,1.0,8.746169786737038e-32,1.411753382469488e-31,-2.2130828784050937e-32,1.0,0.0,8.636066916436921e-19,0.0,-1.6055053191220543,-1.6055053191220543
37,15.55,-0.12844042552976434,1.0,4.1315257478863285e-80,3.211010638244109,1.694267489496762e-31,1.6942674894967617e-31,1.0,8.746169786737036e-31,1.4117533824694878e-30,-2.2130828784050933e-31,1.0,0.0,2.759114967020701e-18,0.0,-1.6055053191220543,-1.6055053191220543
38,15.55,-0.12844042552976434,1.0,1.320047558772951e-77,3.211010638244109,1.6942674894967622e-30,1.694267489496762e-30,1.0,8.746169786737038e-30,1.411753382469488e-29,-2.2130828784050938e-30,1.0,0.0,8.81564828512514e-18,0.0,-1.6055053191220543,-1.6055053191220543
39,15.55,-0.12844042552976434,1.0,4.2179332574891407e-75,3.211010638244109,1.694267489496762e-29,1.6942674894967618e-29,1.0,8.746169786737037e-29,1.411753382469488e-28,-2.2130828784050937e-29,1.0,0.0,2.8168894126520006e-17,0.0,-1.6055053191220543,-1.6055053191220543
40,15.55,-0.12844042552976434,1.0,1.3478490950120217e-72,3.211010638244109,1.694267489496762e-28,1.6942674894967616e-28,1.0,8.746169786737036e-28,1.4117533824694878e-27,-2.2130828784050935e-28,1.0,0.0,9.001540889967825e-17,0.0,-1.6055053191220543,-1.6055053191220543
41,15.55,-0.12844042552976434,1.0,4.307395239296943e-70,3.211010638244109,1.694267489496762e-27,1.6942674894967616e-27,1.0,8.746169786737035e-27,1.4117533824694877e-26,-2.213082878405094e-27,1.0,0.0,2.876708664778182e-16,0.0,-1.6055053191220543,-1.605505319122054
