,xi,B,kS,dphi,xieff,H,N,kh,sigmaE,rhoChi,G,E,ddphi,sigmaB,phi,a,t
0,-1.6055053191220543,0.0,3.2110106382441086,-0.12844042552976434,-1.6055053191220543,1.0,0.0,3.2110106382441086,0.0,0.0,0.0,0.0,0.0005300832073166784,0.0,15.55,1.0,0.0
1,-1.606257218353323,0.7148173245962012,3.547297397352525,-0.12839462382771819,-1.606257218353323,0.9991754617556188,0.09995876819420155,3.547297397352525,0.0,0.0,-0.12649165610544288,0.4282463243200871,0.000392855529082939,0.0,15.537158361714209,1.105125350822396,0.1
2,-1.6071578212237103,1.2472313224995226,3.9188458310626166,-0.12836066494204318,-1.6071578212237103,0.9983514316931532,0.19983510923947384,3.9188458310626166,0.0,0.0,-0.2465635580106115,0.7264963005954881,0.00029142181212340443,0.0,15.52432068167517,1.2212013767338925,0.2
3,-1.6081690105082622,1.6511649835282984,4.329250162439305,-0.12833546083890351,-1.6081690105082622,0.9975277784884613,0.29962906705709286,4.329250162439305,0.0,0.0,-0.36110531692709763,0.9411023759055098,0.00021642763570609458,0.0,15.511485937786265,1.3493581933288978,0.3
4,-1.6092626057049857,1.9634579211360552,4.78248217611018,-0.12831673024473841,-1.6092626057049857,0.9967044050940137,0.3993406742363747,4.78248217611018,0.0,0.0,-0.4706981398056598,1.1026865787711517,0.00016096811134431942,0.0,15.49865337437807,1.4908414233679534,0.4
5,-1.6104177679340568,2.209387721831243,5.282925738087299,-0.12830278746181295,-1.6104177679340568,0.9958812397668065,0.4989699549909304,5.282925738087299,0.0,0.0,-0.5756541081215222,1.2313363575148686,0.00011994518141146075,0.0,15.48582243262693,1.6470238879243009,0.5
6,-1.6116190838422466,2.406395767515648,5.835417113881896,-0.12829238656966593,-1.6116190838422466,0.9950582294530573,0.5985169273416642,5.835417113881896,0.0,0.0,-0.6760686569529581,1.3400701750532686,8.959387180548842e-05,0.0,15.472992699179903,1.819418468706404,0.6
7,-1.6128551506605378,2.5666053817314123,6.445289691329277,-0.12828460647002615,-1.6128551506605378,0.9942353349081577,0.6979816047292849,6.445289691329277,0.0,0.0,-0.7718756011629951,1.4371543880844277,6.713302924684676e-05,0.0,15.460163868216993,2.0096922577041263,0.7
8,-1.6141175309377833,2.6985277686367257,7.118423379178489,-0.1282787660348971,-1.6141175309377833,0.993412527094361,0.7973639972060387,7.118423379178489,0.0,0.0,-0.8629003037425904,1.5276585956670774,5.0507731670943284e-05,0.0,15.447335713425286,2.219682121694928,0.8
9,-1.6153999802419734,2.8082194741312563,7.861299089727225,-0.12827436146424898,-1.6153999802419734,0.9925897845206931,0.8966641123166921,7.861299089727225,0.0,0.0,-0.9489090905532481,1.6145061049695022,3.819927690997267e-05,0.0,15.434508067291947,2.451411821639675,0.9
10,-1.6166978764099722,2.9000680316285234,8.681058776207498,-0.12827102002897997,-1.6166978764099722,0.9917670912778835,0.995881955749999,8.681058776207498,0.0,0.0,-1.0296535680935053,1.699189897540596,2.9084986561300513e-05,0.0,15.421680805801126,2.7071108407031566,1.0
11,-1.6180077976246248,2.977324558307509,9.585571550422912,-0.12826846590328975,-1.6180077976246248,0.9909444355861491,1.0950175318206115,9.585571550422912,0.0,0.0,-1.1049084831738263,1.7822665170459726,2.2334734589752078e-05,0.0,15.408853837121278,2.9892350896673308,1.1
12,-1.6193272104471024,3.0424635334769436,10.583506462822037,-0.12826649492160816,-1.6193272104471024,0.9901218087216704,1.1940708438256507,10.583506462822037,0.0,0.0,-1.174501866730485,1.8637012872203493,1.7334564418444542e-05,0.0,15.396027093240598,3.3004896749925647,1.2
13,-1.620654239085635,3.0974243951648033,11.684412587492314,-0.12826495592381115,-1.620654239085635,0.9892992042227463,1.2930418943086226,11.684412587492314,0.0,0.0,-1.2383366068846777,1.9431124016152863,1.3630287047036482e-05,0.0,15.383200523780605,3.6438539328629354,1.3
14,-1.6219874947114965,3.143772414659929,12.898807120058141,-0.12826373696636528,-1.6219874947114965,0.9884766173026168,1.391930685254796,12.898807120058141,0.0,0.0,-1.2964031979089456,2.019944394152292,1.0885824590558554e-05,0.0,15.370374091419725,4.022608952377913,1.4
15,-1.6233259491612269,3.1828047286385233,14.238272267518502,-0.1282627551274349,-1.6233259491612269,0.9876540444150196,1.4907372182358867,14.238272267518502,0.0,0.0,-1.3487840747591597,2.0935906142871374,8.852435919627651e-06,0.0,15.357547768506995,4.440367832791138,1.5
16,-1.6246688414602233,3.215619474228121,15.715561786635607,-0.12826194896741513,-1.6246688414602233,0.9868314829326663,1.589461494517226,15.715561786635607,0.0,0.0,-1.3956505436751934,2.1634775566260886,7.345976113277077e-06,0.0,15.34472153455576,4.901108943529512,1.6
17,-1.626015608622976,3.2431605173281084,17.34471811217372,-0.12826127295200543,-1.626015608622976,0.9860089309092339,1.6881035151371624,17.34471811217372,0.0,0.0,-1.4372537456637786,2.2291198147339797,6.230088646057307e-06,0.0,15.331895374388306,5.409212481852097,1.7
18,-1.627365834411303,3.266246404225793,19.14120110880906,-0.1282606933258608,-1.627365834411303,0.9851863869031244,1.7866632809659055,19.14120110880906,0.0,0.0,-1.4739113501899073,2.2901520646203415,5.4037791420501416e-06,0.0,15.319069276761978,5.969500651646174,1.8
19,-1.6287192113827513,3.2855894531067182,21.12202958179516,-0.12826018505891146,-1.6287192113827513,0.9843638498469377,1.8851407927491464,21.12202958179516,0.0,0.0,-1.505991711916292,2.3463431497124203,4.792226603993808e-06,0.0,15.306243233351605,6.587281818246204,1.9
20,-1.6300755127745068,3.301808946915553,23.30593679220521,-0.1282597295858875,-1.6300755127745068,0.9835413189507716,1.9835360511404008,23.30593679220521,0.0,0.0,-1.5338971049662058,2.3975965403957584,4.3399867719914905e-06,0.0,15.293417237995666,7.268399028561222,2.0
21,-1.631434571669688,3.315440996141763,25.71354134384377,-0.12825931313267497,-1.631434571669688,0.9827187936305674,2.081849056724998,25.71354134384377,0.0,0.0,-1.5580474010198855,2.443940888720568,4.005963847385024e-06,0.0,15.280591286137671,8.019283323492962,2.1
22,-1.632796265555604,3.32694666470428,28.36753494164158,-0.12825892547682285,-1.632796265555604,0.9818962734549984,2.180079810037878,28.36753494164158,0.0,0.0,-1.5788652379112251,2.48551395699711,3.7596894844537722e-06,0.0,15.267765374412113,8.847012310933126,2.2
23,-1.6341605048763488,3.3367192655686413,31.292888666713118,-0.12825855902940755,-1.6341605048763488,0.9810737581060958,2.2782283115767945,31.292888666713118,0.0,0.0,-1.5967633809670043,2.52254272529471,3.5785686773253963e-06,0.0,15.254939500337505,9.759374512885092,2.3
24,-1.6355272245441022,3.3450912825985837,34.517079572397556,-0.12825820815474548,-1.6355272245441022,0.9802512473500482,2.376294561812123,34.517079572397556,0.0,0.0,-1.6121346545430701,2.5553219997113605,3.4458407397586774e-06,0.0,15.242113662088732,10.764940049836683,2.4
25,-1.6368963776430938,3.35234108971521,38.07033957990542,-0.12825786866623043,-1.6368963776430938,0.9794287410155443,2.474278561194138,38.07033957990542,0.0,0.0,-1.6253445338724355,2.5841933361149576,3.3490694067843864e-06,0.0,15.229287858328199,11.873138279824197,2.5
26,-1.6382679307586197,3.3586994805699746,41.985928843046516,-0.12825753745259813,-1.6382679307586197,0.9786062389777029,2.572180310158416,41.985928843046516,0.0,0.0,-1.6367262792032926,2.6095255977003964,3.2790244765177677e-06,0.0,15.216462088080535,13.09434306912104,2.6
27,-1.6396418605109226,3.3643559301948494,46.3004359605196,-0.12825721220081582,-1.6396418605109226,0.9777837411461464,2.6699998091298602,46.3004359605196,0.0,0.0,-1.6465783293743972,2.631698008541798,3.228853296750412e-06,0.0,15.203636350639604,14.439966436644207,2.7
28,-1.6410181509823787,3.3694644936968614,51.05410764309217,-0.12825689119055422,-1.6410181509823787,0.9769612474561491,2.7677370585256766,51.05410764309217,0.0,0.0,-1.6551635982464625,2.6510861607501712,3.193466814894386e-06,0.0,15.190810645499473,15.922561385532186,2.8
29,-1.6423967918073128,3.3741492530892394,56.2912106935856,-0.12825657314171407,-1.6423967918073128,0.976138757862062,2.865392058757604,56.2912106935856,0.0,0.0,-1.6627102577496344,2.668051102968966,3.1690845263772323e-06,0.0,15.17798497230314,17.55593481349248,2.9
30,-1.6437777767533701,3.3785092422557916,62.06042943193359,-0.12825625710127908,-1.6437777767533701,0.9753162723324313,2.9629648102335593,62.06042943193359,0.0,0.0,-1.6694136274589364,2.6829314069881973,3.1528971135047096e-06,0.0,15.16515933080445,19.355271479081317,3.0
31,-1.6451611026676527,3.3826228112272876,68.41530199794731,-0.12825594235932775,-1.6451611026676527,0.9744937908463711,3.060455313358868,68.41530199794731,0.0,0.0,-1.6754387979511565,2.6960379199313635,3.1428162720120736e-06,0.0,15.152333720839799,21.337270094761006,3.1
