,rhoChi,xi,B,dphi,sigmaE,H,N,kS,kh,xieff,G,E,ddphi,sigmaB,phi,a,t
0,0.0,-1.6055053191220543,0.0,-0.1284404255297643,0.0,1.0,0.0,3.2110106382441086,3.2110106382441086,-1.6055053191220543,0.0,0.0,0.0005300832073166,0.0,15.55,1.0,0.0
1,0.0,-1.606257218353323,0.7148173245962012,-0.1283946238277181,0.0,0.9991754617556188,0.0999587681942015,3.547297397352525,3.547297397352525,-1.606257218353323,-0.1264916561054428,0.4282463243200871,0.0003928555290829,0.0,15.537158361714209,1.105125350822396,0.1
2,0.0,-1.6071578212237103,1.2472313224995226,-0.1283606649420431,0.0,0.9983514316931532,0.1998351092394738,3.9188458310626166,3.9188458310626166,-1.6071578212237103,-0.2465635580106115,0.7264963005954881,0.0002914218121234,0.0,15.52432068167517,1.2212013767338925,0.2
3,0.0,-1.6081690105082622,1.6511649835282984,-0.1283354608389035,0.0,0.9975277784884612,0.2996290670570928,4.329250162439305,4.329250162439305,-1.6081690105082622,-0.3611053169270976,0.9411023759055098,0.000216427635706,0.0,15.511485937786263,1.3493581933288978,0.3
4,0.0,-1.6092626057049857,1.9634579211360552,-0.1283167302447384,0.0,0.9967044050940136,0.3993406742363747,4.78248217611018,4.78248217611018,-1.6092626057049857,-0.4706981398056598,1.1026865787711515,0.0001609681113443,0.0,15.49865337437807,1.4908414233679534,0.4
5,0.0,-1.6104177679340568,2.209387721831243,-0.1283027874618129,0.0,0.9958812397668064,0.4989699549909304,5.282925738087299,5.282925738087299,-1.6104177679340568,-0.5756541081215222,1.2313363575148686,0.0001199451814114,0.0,15.48582243262693,1.6470238879243009,0.5
6,0.0,-1.6116190838422466,2.406395767515648,-0.1282923865696659,0.0,0.9950582294530572,0.5985169273416642,5.835417113881896,5.835417113881896,-1.6116190838422466,-0.6760686569529581,1.3400701750532686,8.959387180548842e-05,0.0,15.472992699179905,1.819418468706404,0.6
7,0.0,-1.6128551506605378,2.5666053817314123,-0.1282846064700261,0.0,0.9942353349081576,0.6979816047292849,6.445289691329277,6.445289691329277,-1.6128551506605378,-0.7718756011629951,1.4371543880844275,6.713302924684676e-05,0.0,15.460163868216991,2.0096922577041263,0.7
8,0.0,-1.614117530937783,2.6985277686367257,-0.1282787660348971,0.0,0.993412527094361,0.7973639972060387,7.118423379178489,7.118423379178489,-1.614117530937783,-0.8629003037425904,1.5276585956670774,5.050773167094328e-05,0.0,15.447335713425286,2.219682121694928,0.8
9,0.0,-1.6153999802419734,2.8082194741312563,-0.1282743614642489,0.0,0.9925897845206932,0.8966641123166921,7.861299089727225,7.861299089727225,-1.6153999802419734,-0.948909090553248,1.6145061049695022,3.819927690997267e-05,0.0,15.434508067291947,2.451411821639675,0.9
