# This data is taken from: https://arxiv.org/abs/1803.01038
# Adaptation: added in frequencies in Hz corresponding to T in GeV
#
# Original Header:
### Effective degrees of freedom for the energy density and for the entropy density in the Standard Model.
### Data points are spaced over the interval in log(T).
### 
### K. Saikawa and S. Shirai (2018).
#
#
T[GeV] f[Hz] g_*rho g_*s
2.0057191e-06 2.8488650694078204e-14 3.3830836 3.9309363
2.0162307e-06 2.8637954402975357e-14 3.3830836 3.9309363
2.0267974e-06 2.878804073624562e-14 3.3830836 3.9309363
2.0374195e-06 2.893891395500171e-14 3.3830836 3.9309363
2.0480972e-06 2.909057689998545e-14 3.3830836 3.9309363
2.0588309e-06 2.924303525268052e-14 3.3830836 3.9309363
2.0696209e-06 2.939629327419963e-14 3.3830836 3.9309363
2.0804674e-06 2.9550353805284633e-14 3.3830836 3.9309363
2.0913707e-06 2.970522110704825e-14 3.3830836 3.9309363
2.1023312e-06 2.986090086097412e-14 3.3830836 3.9309363
2.1133491e-06 3.001739590780411e-14 3.3830836 3.9309363
2.1244248e-06 3.0174711929021845e-14 3.3830836 3.9309363
2.1355585e-06 3.033285176536914e-14 3.3830836 3.9309363
2.1467506e-06 3.049182109832967e-14 3.3830836 3.9309363
2.1580013e-06 3.0651622768645245e-14 3.3830836 3.9309363
2.169311e-06 3.0812262457799535e-14 3.3830836 3.9309363
2.1806799e-06 3.0973743006534357e-14 3.3830836 3.9309363
2.1921085e-06 3.113607151670427e-14 3.3830836 3.9309363
2.2035969e-06 3.12992494086802e-14 3.3830836 3.9309363
2.2151456e-06 3.1463283784316695e-14 3.3830836 3.9309363
2.2267547e-06 3.162817606398467e-14 3.3830836 3.9309363
2.2384247e-06 3.1793933349538715e-14 3.3830836 3.9309363
2.2501559e-06 3.1960559902091555e-14 3.3830836 3.9309363
2.2619486e-06 3.212805998275592e-14 3.3830836 3.9309363
2.273803e-06 3.229643643227364e-14 3.3830836 3.9309363
2.2857196e-06 3.246569635249928e-14 3.3830836 3.9309363
2.2976986e-06 3.263584258417468e-14 3.3830836 3.9309363
2.3097404e-06 3.2806880808783475e-14 3.3830836 3.9309363
2.3218454e-06 3.297881670780932e-14 3.3830836 3.9309363
2.3340137e-06 3.3151651701623134e-14 3.3830836 3.9309363
2.3462459e-06 3.33253943124504e-14 3.3830836 3.9309363
2.3585421e-06 3.350004596066202e-14 3.3830836 3.9309363
2.3709028e-06 3.367561374811256e-14 3.3830836 3.9309363
2.3833282e-06 3.385210051554385e-14 3.3830836 3.9309363
2.3958188e-06 3.4029513364810455e-14 3.3830836 3.9309363
2.4083749e-06 3.420785655702512e-14 3.3830836 3.9309363
2.4209967e-06 3.4387132932929655e-14 3.3830836 3.9309363
2.4336847e-06 3.456734959437864e-14 3.3830836 3.9309363
2.4464392e-06 3.474851080248481e-14 3.3830836 3.9309363
2.4592605e-06 3.493062081836091e-14 3.3830836 3.9309363
2.4721491e-06 3.511368674386149e-14 3.3830836 3.9309363
2.4851051e-06 3.5297709999357477e-14 3.3830836 3.9309363
2.4981291e-06 3.548269910707434e-14 3.3830836 3.9309363
2.5112213e-06 3.5668656907753916e-14 3.3830836 3.9309363
2.5243822e-06 3.5855590503250763e-14 3.3830836 3.9309363
2.537612e-06 3.604350273430669e-14 3.3830836 3.9309363
2.5509112e-06 3.62324007027763e-14 3.3830836 3.9309363
2.56428e-06 3.64222872494014e-14 3.3830836 3.9309363
2.5777189e-06 3.661316947603655e-14 3.3830836 3.9309363
2.5912283e-06 3.680505306416541e-14 3.3830836 3.9309363
2.6048084e-06 3.6997940854529794e-14 3.3830836 3.9309363
2.6184597e-06 3.719183994898428e-14 3.3830836 3.9309363
2.6321826e-06 3.738675602901252e-14 3.3830836 3.9309363
2.6459774e-06 3.758269335572725e-14 3.3830836 3.9309363
2.6598445e-06 3.777965761061212e-14 3.3830836 3.9309363
2.6737842e-06 3.7977653054779864e-14 3.3830836 3.9309363
2.687797e-06 3.8176686790085064e-14 3.3830836 3.9309363
2.7018833e-06 3.837676449801136e-14 3.3830836 3.9309363
2.7160433e-06 3.8577889019300573e-14 3.3830836 3.9309363
2.7302776e-06 3.87800688761782e-14 3.3830836 3.9309363
2.7445865e-06 3.898330832975698e-14 3.3830836 3.9309363
2.7589704e-06 3.918761306152053e-14 3.3830836 3.9309363
2.7734296e-06 3.9392987332581626e-14 3.3830836 3.9309363
2.7879647e-06 3.959943966516574e-14 3.3830836 3.9309363
2.8025759e-06 3.980697290001469e-14 3.3830836 3.9309363
2.8172636e-06 4.001559271861212e-14 3.3830836 3.9309363
2.8320284e-06 4.0225307643183516e-14 3.3830836 3.9309363
2.8468705e-06 4.043612051447071e-14 3.3830836 3.9309363
2.8617905e-06 4.06480398546992e-14 3.3830836 3.9309363
2.8767886e-06 4.0861068504610755e-14 3.3830836 3.9309363
2.8918653e-06 4.107521356606001e-14 3.3830836 3.9309363
2.907021e-06 4.129048072053055e-14 3.3830836 3.9309363
2.9222562e-06 4.1506877069876995e-14 3.3830836 3.9309363
2.9375712e-06 4.172440687521205e-14 3.3830836 3.9309363
2.9529665e-06 4.19430772383903e-14 3.3830836 3.9309363
2.9684424e-06 4.2162892420524467e-14 3.3830836 3.9309363
2.9839995e-06 4.238386094384004e-14 3.3830836 3.9309363
2.999638e-06 4.2605985649078847e-14 3.3830836 3.9309363
3.0153586e-06 4.282927647883727e-14 3.3830836 3.9309363
3.0311615e-06 4.305373627385715e-14 3.3830836 3.9309363
3.0470473e-06 4.3279373556363956e-14 3.3830836 3.9309363
3.0630163e-06 4.3506192587470415e-14 3.3830836 3.9309363
3.079069e-06 4.373420046903112e-14 3.3830836 3.9309363
3.0952058e-06 4.3963402882529696e-14 3.3830836 3.9309363
