# Frequencies [Hz],B1855+09,B1937+21,B1953+29,J0023+0923,J0030+0451,J0340+4130,J0406+3039,J0437-4715,J0509+0856,J0557+1551,J0605+3757,J0610-2100,J0613-0200,J0636+5128,J0645+5158,J0709+0458,J0740+6620,J0931-1902,J1012+5307,J1012-4235,J1022+1001,J1024-0719,J1125+7819,J1312+0051,J1453+1902,J1455-3330,J1600-3053,J1614-2230,J1630+3734,J1640+2224,J1643-1224,J1705-1903,J1713+0747,J1719-1438,J1730-2304,J1738+0333,J1741+1351,J1744-1134,J1745+1017,J1747-4036,J1751-2857,J1802-2124,J1811-2405,J1832-0836,J1843-1113,J1853+1303,J1903+0327,J1909-3744,J1910+1256,J1911+1347,J1918-0642,J1923+2515,J1944+0907,J1946+3417,J2010-1323,J2017+0603,J2033+1734,J2043+1711,J2124-3358,J2145-0750,J2214+3000,J2229+2643,J2234+0611,J2234+0944,J2302+4442,J2317+1439,J2322+2057
2.000000000000000331e-10,1.921945553320320297e-15,2.853933858022262904e-14,3.309109319467874161e-14,1.515454041123529686e-15,2.383861759163055386e-15,4.462820452751078380e-15,2.337156958641430617e-12,3.534265934062845867e-14,3.595222219374962873e-11,3.199367664271690607e-12,2.913189358342279791e-11,1.283303653129463285e-11,7.482157538462008311e-16,6.148058849252809732e-14,1.317295702293781615e-15,2.700297241430174334e-11,1.866199465830625500e-15,1.007258929392324271e-14,1.123789439373719153e-15,1.295711639030455639e-10,1.893782974039747247e-12,8.526114828103973505e-13,8.917709436522129136e-14,1.555275045625104529e-12,5.634545143790714519e-14,1.420621850953494658e-15,1.991970063291526853e-16,4.748281584817463531e-15,1.591650156599340787e-11,7.020211423495725901e-17,4.126806984520997593e-15,6.999411282173745157e-13,6.240314561569277394e-17,2.570450943180241950e-12,4.860576610768208266e-13,1.092095349849559912e-14,4.073055869699953320e-16,5.562887523140716385e-16,4.998901228641055525e-11,2.967053401916000622e-13,3.887163432736833251e-12,2.873874416064390441e-11,1.351122137148820253e-13,5.174616791725508832e-15,3.162090403281296281e-13,2.836341029631384298e-15,9.063192999013725143e-14,4.354016991509431154e-16,1.713803060103078288e-15,2.028683609903657012e-15,2.287052147509643495e-16,1.636921979646805103e-15,1.580322666281477052e-15,4.174388561575399812e-13,3.345703338341788743e-16,2.526275059252863727e-15,8.272544445891337355e-14,1.074885556530447556e-16,7.935549943068043723e-13,2.666707957094595971e-16,1.418674916852427059e-14,4.824171334619348789e-15,2.782623639487440366e-15,1.165837484667010775e-14,7.277932228661052409e-14,3.818627079666161556e-17,3.368202137157145701e-14
2.046743597265042972e-10,1.753133811349079604e-15,2.603561404568886678e-14,3.017561419145724668e-14,1.381863793776440885e-15,2.174526850813354278e-15,4.069363503295935491e-15,2.130911372059833204e-12,3.222437935161123514e-14,3.277969905552983934e-11,2.917094486296142227e-12,2.656104154048969949e-11,1.170052483375901941e-11,6.824851888717319377e-16,5.605637620771435821e-14,1.201167598567957715e-15,2.462013792689574545e-11,1.701594144313980277e-15,9.184246505219790782e-15,1.025038458802171975e-15,1.181361905104897617e-10,1.726725509356852501e-12,7.423692408981894857e-13,8.131058451262231877e-14,1.418049136408626167e-12,5.137580427915445702e-14,1.295678980605444995e-15,1.816616304041030262e-16,4.327910694594304245e-15,1.451147584853349996e-11,6.402652583306582218e-17,3.764302681752382283e-15,6.381743180150670550e-13,5.692300294203889629e-17,2.343605831798548543e-12,4.431621378700971092e-13,9.958286671086075448e-15,3.714178306458000184e-16,5.074351882046309691e-16,4.557848337822155850e-11,2.705507575254189274e-13,3.544116404565313188e-12,2.620255110234981968e-11,1.231883605030992564e-13,4.718288963881760269e-15,2.883036194411254690e-13,2.586342899343406226e-15,8.265078117059166120e-14,3.971355716750678765e-16,1.562859481417132817e-15,1.849769728622370519e-15,2.086057355226341601e-16,1.492587566201930274e-15,1.441255789404280488e-15,3.806163973845897942e-13,3.050922337180546691e-16,2.303514060694395888e-15,7.542893061636633652e-14,9.801318212142706465e-17,7.235214539905363288e-13,2.432346200251168053e-16,1.293611507800972460e-14,4.398609907445090858e-15,2.537215021269774522e-15,1.063021161462505454e-14,6.635230737715255339e-14,3.483159719675522363e-17,3.071061420777630595e-14
2.094579676472715070e-10,1.599185605042942098e-15,2.375220418426453524e-14,2.751723847050990323e-14,1.260057507062690878e-15,1.983621241008886290e-15,3.710615562685624439e-15,1.942868594987893938e-12,2.938128611507045763e-14,2.988717041630457765e-11,2.659731479254922216e-12,2.421709068087530854e-11,1.066796821769769117e-11,6.225426067176299198e-16,5.111083843599791609e-14,1.095283390068706533e-15,2.244760389944188293e-11,1.551512944148293607e-15,8.374283293704606250e-15,9.349842909902100349e-16,1.077104798920103186e-10,1.574409397263947865e-12,6.463861559261491349e-13,7.413821936864676636e-14,1.292933535308465794e-12,4.684464922795300988e-14,1.181744396306195243e-15,1.656719593096046688e-16,3.944703039791675866e-15,1.323047523001518924e-11,5.839510728958475495e-17,3.433717610463750567e-15,5.818588988541163281e-13,5.192533385677357064e-17,2.136782150868703361e-12,4.040526070005342508e-13,9.080534750747179853e-15,3.386949587384348375e-16,4.628827562288135000e-16,4.155718169253224070e-11,2.467032378455050214e-13,3.231346856251740353e-12,2.389020187649648807e-11,1.123169131928089413e-13,4.302221576228331012e-15,2.628611241175344965e-13,2.358395649455760343e-15,7.537327808252809241e-14,3.622397294383758473e-16,1.425224692940909799e-15,1.686641458297361141e-15,1.902764866866048540e-16,1.360986495601247392e-15,1.314445141180284593e-15,3.470431366866580496e-13,2.782137186145984446e-16,2.100405670849796601e-15,6.877622503523756098e-14,8.937363087012160061e-17,6.596691640475265641e-13,2.218625552997850694e-16,1.179580108608220702e-14,4.010600706726927752e-15,2.313459002793476875e-15,9.692762847605993747e-15,6.049273219080690210e-14,3.177232444707989442e-17,2.800141634598242253e-14
2.143533770891007091e-10,1.458790622135195486e-15,2.166969293300126624e-14,2.509328262901038119e-14,1.148995373999402101e-15,1.809520373948109793e-15,3.383513833781694390e-15,1.771421977237017139e-12,2.678909177160051012e-14,2.724992314682648490e-11,2.425080096487441808e-12,2.208001369191642700e-11,9.726544174928451563e-12,5.678777366694399892e-16,4.660172801640065449e-14,9.987391519122559174e-16,2.046680856580218628e-11,1.414674073202416962e-15,7.635782647305382017e-15,8.528601683645028916e-16,9.820494901324675601e-11,1.435533635398372890e-12,5.628174630052272852e-13,6.759873724380443370e-14,1.178859383560310537e-12,4.271328864175824766e-14,1.077847318511075372e-15,1.510916504021942042e-16,3.595375641080212141e-15,1.206255185542182438e-11,5.325986758475225211e-17,3.132237827988402510e-15,5.305137108644346678e-13,4.736760724291360133e-17,1.948212707082687728e-12,3.683948966754991298e-13,8.280204991925263768e-15,3.088577390277982715e-16,4.222522998622284388e-16,3.789075420572401904e-11,2.249592089835261533e-13,2.946182342151914333e-12,2.178193895445841402e-11,1.024049809742105881e-13,3.922861724491930676e-15,2.396641647628719579e-13,2.150553591211779445e-15,6.873734829585098933e-14,3.304170144143327507e-16,1.299724604736815398e-15,1.537905724015673717e-15,1.735613883676014023e-16,1.240995113959748197e-15,1.198809731211605053e-15,3.164323178591847134e-13,2.537054335790882249e-16,1.915215627788065168e-15,6.271051025931544368e-14,8.149614953583998329e-17,6.014525329021640004e-13,2.023726101499551574e-16,1.075607254795507058e-14,3.656829541989814056e-15,2.109444742885895127e-15,8.838023051593517400e-15,5.515050306941276854e-14,2.898240985012340650e-17,2.553128603262791645e-14
2.193632010546280791e-10,1.330754135260903344e-15,1.977037668048228649e-14,2.288306502734469558e-14,1.047729354992106347e-15,1.650742994149703723e-15,3.085265828955845662e-15,1.615106682896978269e-12,2.442565222208755947e-14,2.484542545700077615e-11,2.211135844600703996e-12,2.013155101773409272e-11,8.868208936818837391e-12,5.180253209721259281e-16,4.249052670060705728e-14,9.107107349695381630e-16,1.866082854118605951e-11,1.289908871795442585e-15,6.962438048625096640e-15,7.779669653063455065e-16,8.953837800410723857e-11,1.308912051085692422e-12,4.900570999040649982e-13,6.163628354657555315e-14,1.074852165262371519e-12,3.894644035603878642e-14,9.831026167852695989e-16,1.377963916396813864e-16,3.276935424256267058e-15,1.099772424380029155e-11,4.857704993232157675e-17,2.857297617364826455e-15,4.837000646190998937e-13,4.321104364060248961e-17,1.776286292719695432e-12,3.358843316715183001e-13,7.550465912342919795e-15,2.816515811626506769e-16,3.851981079623364110e-16,3.454788004964360353e-11,2.051330648272184113e-13,2.686186306695521150e-12,1.985974875059424380e-11,9.336787228311306790e-14,3.576970079422810402e-15,2.185145401935761015e-13,1.961042748317779668e-15,6.268639678226682430e-14,3.013964835050934666e-16,1.185288733248235367e-15,1.402292403160692816e-15,1.583181298118042083e-16,1.131588937969745476e-15,1.093363949006318027e-15,2.885224943927785494e-13,2.313582638477594827e-16,1.746362731524807726e-15,5.717998359128857003e-14,7.431349471929958013e-17,5.483741271227771605e-13,1.845988481988343410e-16,9.808053946788053205e-15,3.334274741846737951e-15,1.923430050771450123e-15,8.058693293106809757e-15,5.027994838291308778e-14,2.643810803802875351e-17,2.327912408094111062e-14
2.244901136170612005e-10,1.213986802722416980e-15,1.803811317229067397e-14,2.086772911596332197e-14,9.553950782642360230e-16,1.505938501809565118e-15,2.813325511836413285e-15,1.472587172025174854e-12,2.227077790205495244e-14,2.265313435194901414e-11,2.016071155085065521e-12,1.835505481785285193e-11,8.085628735188166128e-12,4.725611428291391202e-16,3.874211601220503982e-14,8.304467246803547571e-16,1.701423420561784832e-11,1.176151826994414173e-15,6.348499589754791847e-15,7.096672292283803976e-16,8.163671606993499911e-11,1.193463165812180871e-12,4.267068168628124111e-13,5.619993352057555513e-14,9.800233799438612458e-13,3.551193621652253078e-14,8.967032514342060846e-16,1.256728398367794874e-16,2.986653625046561987e-15,1.002689198615524448e-11,4.430675811100113676e-17,2.606557583718505259e-15,4.410179923322821285e-13,3.942028420405708916e-17,1.619533917298209478e-12,3.062431296874295755e-13,6.885088928662488129e-15,2.568443617919678065e-16,3.514049635728797671e-16,3.150000287738005420e-11,1.870555796046300085e-13,2.449137262840355982e-12,1.810720768934294732e-11,8.512837106381619259e-14,3.261593209270501299e-15,1.992315438916712223e-13,1.788245701399458379e-15,5.716882250316398056e-14,2.749310952347236519e-16,1.080941057340904086e-15,1.278643473015496909e-15,1.444169543497550399e-16,1.031833901772645922e-15,9.972091465602692913e-16,2.630752954914548368e-13,2.109815484608039579e-16,1.592405334208011090e-15,5.213741446350606476e-14,6.776435749076260643e-17,4.999804205678415739e-13,1.683899713237935655e-16,8.943653065028060109e-15,3.040181334436280181e-15,1.753826500196420826e-15,7.348118835157960116e-15,4.583942818519089625e-14,2.411776825314063258e-17,2.122569358111672148e-14
2.297368513475109809e-10,1.107495369386915444e-15,1.645818375033642123e-14,1.903008235624490194e-14,8.712044552022749041e-16,1.373875424097702856e-15,2.565371544924610762e-15,1.342645788442558910e-12,2.030606126414511364e-14,2.065432008595846414e-11,1.838219767676811799e-12,1.673534670475584654e-11,7.372117132653744941e-12,4.310984049507402072e-16,3.532447715969044129e-14,7.572620213608246366e-16,1.551295785272202818e-11,1.072431468338716211e-15,5.788724843333479899e-15,6.473797384469704505e-16,7.443244869495729052e-11,1.088200954270305262e-12,3.715492841697625333e-13,5.124325710802767111e-14,8.935629502437873202e-13,3.238044722090924890e-14,8.179133822245591516e-16,1.146176526320016044e-16,2.722042453432015794e-15,9.141757974148278272e-12,4.041261577565515545e-17,2.377884683747472925e-15,4.021028299636094361e-13,3.596308887443998651e-17,1.476616254058519548e-12,2.792180275260336095e-13,6.278395143868424496e-15,2.342244416578560534e-16,3.205854531811612552e-16,2.872108684298481466e-11,1.705724621303435482e-13,2.233009808087673095e-12,1.650934185650077958e-11,7.761607691491711771e-14,2.974038345359342321e-15,1.816504197858839284e-13,1.630687770167035464e-15,5.213757766473850748e-14,2.507956006095346345e-16,9.857916814184163637e-16,1.165903116331005862e-15,1.317395515939458730e-16,9.408783764177957564e-16,9.095259638607114481e-16,2.398733892742305237e-13,1.924014515597924474e-16,1.452029022772484615e-15,4.753974087829158081e-14,6.179283960462978793e-17,4.558579187323060377e-13,1.536080279415544940e-16,8.155491849126002841e-15,2.772037506914012062e-15,1.599185857471264968e-15,6.700232277420277320e-15,4.179097832578611017e-14,2.200164951964454224e-17,1.935345552286497275e-14
2.351062147756735509e-10,1.010374188267537130e-15,1.501716774992545800e-14,1.735444935881811629e-14,7.944389475117099889e-16,1.253430903904804262e-15,2.339287457219155912e-15,1.224172353925786027e-12,1.851471948097127446e-14,1.883190611155118916e-11,1.676062492140144015e-12,1.525858804082294001e-11,6.721577882367457101e-12,3.932844277119760409e-16,3.220841743724099067e-14,6.905319871503914784e-16,1.414417347513814592e-11,9.778620671774829954e-16,5.278334070112954606e-15,5.905745403508757864e-16,6.786402068770932056e-11,9.922264191095895653e-13,3.235246800490748570e-13,4.672392222197759792e-14,8.147322996871561098e-13,2.952523292203002449e-14,7.460620853197142389e-16,1.045366058943387460e-16,2.480833818047752498e-15,8.334757491661657626e-12,3.686145583738374517e-17,2.169334017696438747e-15,3.666221010288390644e-13,3.281006119011707415e-17,1.346312194794541705e-12,2.545781168560174016e-13,5.725206831443330261e-15,2.135988577114044363e-16,2.924775134462589945e-16,2.618739412547141168e-11,1.555430376640133437e-13,2.035957316570826207e-12,1.505249903987664599e-11,7.076680348083553528e-14,2.711850374979280578e-15,1.656209543131513721e-13,1.487024415200894322e-15,4.754976587421597197e-14,2.287846201203250017e-16,8.990292343758359724e-16,1.063108700270748768e-15,1.201780474068224556e-16,8.579458937479849709e-16,8.295673317448439415e-16,2.187186257636419333e-13,1.754594774407046940e-16,1.324035388784266497e-15,4.334770146915314680e-14,5.634797594531052478e-17,4.156296251891217938e-13,1.401272352946490154e-16,7.436843376304765436e-15,2.527553142791974823e-15,1.458187707473457743e-15,6.109501715490876650e-15,3.809998597680089372e-14,2.007175212716205457e-17,1.764641892882581397e-14
2.406010698846649006e-10,9.217974903525497960e-16,1.370282798107030421e-14,1.582653798448227509e-14,7.244434286565300090e-16,1.143581116229250723e-15,2.133143562355970897e-15,1.116154681627580405e-12,1.688145103852436352e-14,1.717032315234831536e-11,1.528214226931376079e-12,1.391216167543498403e-11,6.128452834240345178e-12,3.587976387118903897e-16,2.936732077562317720e-14,6.296871095804308284e-16,1.289618716274146503e-11,8.916360686870575249e-16,4.812969380242736349e-15,5.387684274763668745e-16,6.187531016624677649e-11,9.047199093422754287e-13,2.817103084868560098e-13,4.260333303691979698e-14,7.428580415411907869e-13,2.692191294997970255e-14,6.805376247433103256e-16,9.534378902843754844e-17,2.260959928791852005e-15,7.598993565280078260e-12,3.362303725841120595e-17,1.979132228251919209e-15,3.342726754515105372e-13,2.993439738308006295e-17,1.227508414847320453e-12,2.321128709547329417e-13,5.220803201785782462e-15,1.947916747958941477e-16,2.668421944328355469e-16,2.387728209004682389e-11,1.418390461142909879e-13,1.856296158546059186e-12,1.372423206460182752e-11,6.452202994690011879e-14,2.472790865052333759e-15,1.510061927844037363e-13,1.356029751737462903e-15,4.336627576373700201e-14,2.087108904614300667e-16,8.199139394433941674e-16,9.693825515579988290e-16,1.096340830091347338e-16,7.823285125221774492e-16,7.566520923228531946e-16,1.994303437906738560e-13,1.600111166735582609e-16,1.207331789566831458e-15,3.952550003975311713e-14,5.138329912565437374e-17,3.789518199664365472e-13,1.278329056774796797e-16,6.781574385159317825e-15,2.304640253783734125e-15,1.329628171864481828e-15,5.570883476075596539e-15,3.473489380118454405e-14,1.831166398658994396e-17,1.609000421551461891e-14
2.462243496407784605e-10,8.410123366417447818e-16,1.250400631570646369e-14,1.443331726346219111e-14,6.606205871124711603e-16,1.043392530335626313e-15,1.945180472764488988e-15,1.017669926369923177e-12,1.539230498422757142e-14,1.565537616195065200e-11,1.393412123639856207e-12,1.268456413026209067e-11,5.587674436741384801e-12,3.273448280128962376e-16,2.677692031154750331e-14,5.742081361775335181e-16,1.175833717511666533e-11,8.130171918843292252e-16,4.388657499217895945e-15,4.915208128370103513e-16,5.641514895711517194e-11,8.249341168308102724e-13,2.453028547999193250e-13,3.884630020654555455e-14,6.773262246892130822e-13,2.454825870197552670e-14,6.207822294267270834e-16,8.696087130245472945e-17,2.060535611853826039e-15,6.928178024477025297e-12,3.066978684209117818e-17,1.805662364530891445e-15,3.047781792230774652e-13,2.731165761808809332e-17,1.119189859221258931e-12,2.116303456621174233e-13,4.760880072957342654e-15,1.776424828190836211e-16,2.434616202457234372e-16,2.177101835126081159e-11,1.293435463200034961e-13,1.692491313008865055e-12,1.251319242624213539e-11,5.882840095188712510e-14,2.254818937322292533e-15,1.376812690466973521e-13,1.236586077275007364e-15,3.955144695107796181e-14,1.904036659833539731e-16,7.477712956977472576e-16,8.839244576479621633e-16,1.000179753612441254e-16,7.133807700757339276e-16,6.901591824560301812e-16,1.818438273393843036e-13,1.459246117210884998e-16,1.100922013050560997e-15,3.604049971253547809e-14,4.685644251555123237e-17,3.455111222917670053e-13,1.166204674276874622e-16,6.184092878734475559e-15,2.101395138832803254e-15,1.212409623121582933e-15,5.079779023924462367e-15,3.166693023478025527e-14,1.670642054551731963e-17,1.467091861550419416e-14
