# Frequencies [Hz],B1855+09,B1937+21,B1953+29,J0023+0923,J0030+0451,J0340+4130,J0406+3039,J0437-4715,J0509+0856,J0557+1551,J0605+3757,J0610-2100,J0613-0200,J0636+5128,J0645+5158,J0709+0458,J0740+6620,J0931-1902,J1012+5307,J1012-4235,J1022+1001,J1024-0719,J1125+7819,J1312+0051,J1453+1902,J1455-3330,J1600-3053,J1614-2230,J1630+3734,J1640+2224,J1643-1224,J1705-1903,J1713+0747,J1719-1438,J1730-2304,J1738+0333,J1741+1351,J1744-1134,J1745+1017,J1747-4036,J1751-2857,J1802-2124,J1811-2405,J1832-0836,J1843-1113,J1853+1303,J1903+0327,J1909-3744,J1910+1256,J1911+1347,J1918-0642,J1923+2515,J1944+0907,J1946+3417,J2010-1323,J2017+0603,J2033+1734,J2043+1711,J2124-3358,J2145-0750,J2214+3000,J2229+2643,J2234+0611,J2234+0944,J2302+4442,J2317+1439,J2322+2057
2.000000000000000331e-10,4.056954132469637102e+02,6.024249094411648002e+03,6.985059855216161850e+03,3.198908275045833420e+02,5.031993647460546413e+02,9.420380221999434980e+02,4.933406445989082567e+05,7.460333494709165279e+03,7.589003556756326929e+06,6.753410805229772814e+05,6.149329040864628740e+06,2.708871773075276054e+06,1.579377204157106007e+02,1.297767916060507559e+04,2.780624161736885753e+02,5.699944014330097474e+06,3.939282058138695675e+02,2.126180561673837474e+03,2.372159920043841339e+02,2.735063269285817072e+07,3.997506926904453430e+05,1.799741763029128488e+05,1.882401823930972751e+04,3.282964760669300449e+05,1.189372465114711122e+04,2.998730988474516153e+02,4.204765929016664927e+01,1.002294813418376521e+03,3.359747454399113078e+06,1.481866939266766181e+01,8.711103506981959299e+02,1.477476324811201484e+05,1.317241786830656558e+01,5.425856917866365984e+05,1.025998698723535781e+05,2.305258197855215258e+03,8.597642536653555112e+01,1.174246558987103839e+02,1.055197061243850365e+07,6.263028387753208517e+04,8.205250000335597433e+05,6.066340780730755068e+06,2.852026962110072418e+04,1.092288121319051697e+03,6.674723800927876437e+04,5.987113131991225146e+02,1.913111337997957162e+04,9.190711566220541329e+01,3.617594887073007612e+02,4.282263012317689572e+02,4.827642304946406426e+01,3.455309843916103887e+02,3.335836730926132532e+02,8.811541459205315914e+04,7.062304632435642304e+01,5.332607900200355289e+02,1.746216656232410969e+04,2.268930768077456150e+01,1.675081902259458438e+05,5.629041805026351852e+01,2.994621287066312561e+03,1.018314061910559531e+03,5.873723349667023967e+02,2.460917372522235837e+03,1.536268141409697637e+04,8.060579491676229225e+00,7.109796401737784436e+03
2.046743597265042972e-10,3.533517067181153948e+02,5.247590685287668748e+03,6.082025631354212237e+03,2.785206279303510541e+02,4.382852974856413084e+02,8.201978250818834795e+02,4.294944089880743413e+05,6.494963115828338232e+03,6.606890205411328003e+06,5.879530180286412360e+05,5.353492870758399367e+06,2.358291416628899518e+06,1.375578434096170497e+02,1.129840521995647214e+04,2.421005277867951690e+02,4.962295347786079161e+06,3.429636637788708526e+02,1.851124629809053658e+03,2.066009374325699639e+02,2.381086045561761409e+07,3.480289991643205867e+05,1.496277332558815542e+05,1.638850019649856040e+04,2.858139403372478555e+05,1.035501569163470958e+04,2.611497058535481983e+02,3.661468778534889168e+01,8.723091304032676589e+02,2.924850758615035564e+06,1.290482336937856545e+01,7.587114962874517232e+02,1.286267956242116488e+05,1.147307758876183748e+01,4.723638978266519844e+05,8.932124676139016810e+04,2.007135775054579881e+03,7.486087115235095268e+01,1.022757582109241952e+02,9.186540574974404648e+06,5.453067604230368306e+04,7.143319992198048858e+05,5.281237571511518210e+06,2.482914718191425709e+04,9.509915600189726774e+02,5.810884219051041873e+04,5.212886042840116261e+02,1.665862263288404210e+04,8.004439315551927336e+01,3.150010920697326355e+02,3.728290940560000877e+02,4.204538877804655783e+01,3.008374834422002095e+02,2.904913416800006303e+02,7.671488208720974217e+04,6.149266005414514780e+01,4.642832278553718766e+02,1.520302739966281297e+04,1.975498102841829606e+01,1.458288802370388876e+05,4.902499031301478993e+01,2.607329977624005551e+03,8.865588627184687311e+02,5.113866678474548166e+02,2.142565155315785887e+03,1.337359470487869476e+04,7.020459155779001037e+00,6.189857199963961648e+03
2.094579676472715070e-10,3.077684588613477672e+02,4.571188768394932595e+03,5.295781833880133490e+03,2.425021559739106181e+02,3.817543444518096862e+02,7.141200055537153730e+02,3.739113654874849017e+05,5.654523851693082179e+03,5.751882927001163363e+06,5.118739537011522916e+05,4.660657683170153759e+06,2.053085099808970001e+06,1.198103447409821740e+02,9.836446705719326928e+03,2.107908424856202885e+02,4.320114210304996930e+06,2.985937005799463577e+02,1.611657993446351611e+03,1.799407607160769942e+02,2.072923136316628382e+07,3.030001972783748060e+05,1.243991131556988839e+05,1.426814088737387829e+04,2.488292542886885058e+05,9.015404749344514130e+03,2.274305436919094348e+02,3.188410615532508530e+01,7.591709001093449842e+02,2.546247889365955722e+06,1.123832788319524489e+01,6.608300961470451966e+02,1.119806331487604330e+05,9.993198992390276203e+00,4.112306585436263704e+05,7.776123532085257466e+04,1.747578378057828559e+03,6.518294383486322374e+01,8.908328843680993714e+01,7.997814464937120676e+06,4.747883864661023108e+04,6.218831878294416238e+05,4.597746872051393613e+06,2.161575439924395687e+04,8.279765025525456394e+02,5.058847629011934623e+04,4.538808954566696912e+02,1.450583194448186441e+04,6.971421135610262354e+01,2.742891168444346022e+02,3.245996216042076981e+02,3.661932728785137670e+01,2.619262673209559580e+02,2.529692326413729973e+02,6.678957776986288081e+04,5.354313291845842571e+01,4.042298869265513304e+02,1.323620767886284011e+04,1.720024526796667885e+01,1.269554711704706133e+05,4.269816868556782907e+01,2.270140195015730114e+03,7.718531199412800561e+02,4.452326919923341393e+02,1.865403661907099604e+03,1.164202260198368276e+04,6.114686937328905891e+00,5.388963437115573470e+03
2.143533770891007091e-10,2.680719115046350680e+02,3.982090313800886179e+03,4.611219827036597053e+03,2.111429711326024687e+02,3.325231038576666833e+02,6.217650478837359742e+02,3.255220237323668553e+05,4.922847000603004744e+03,5.007530810440855101e+06,4.456402770575150498e+05,4.057492135353195015e+06,1.787380073427492520e+06,1.043549828604493399e+02,8.563678789277175383e+03,1.835314194409620256e+02,3.761044533315867186e+06,2.599649169696086801e+02,1.403175218593757336e+03,1.567242427463649506e+02,1.804644751737133041e+07,2.637981351341421832e+05,1.034250911999747332e+05,1.242215464870653705e+04,2.166308746101197903e+05,7.849127050245174360e+03,1.980685827007127386e+02,2.776507260268947874e+01,6.606974339270545897e+02,2.216652125699659809e+06,9.787199268549384712e+00,5.755897858782369667e+02,9.748885302175064862e+04,8.704419143045358354e+00,3.580096392728760256e+05,6.769739443197571381e+04,1.521596277186592488e+03,5.675666077630457806e+01,7.759439870515255677e+01,6.962923091329943389e+06,4.133920539913893299e+04,5.413996499003210338e+05,4.002716992553979158e+06,1.881825848124232652e+04,7.208772973284588943e+02,4.404143390578410617e+04,3.951924307996209222e+02,1.263138936447106789e+04,6.071846041761560997e+01,2.388414443680966031e+02,2.826103492133593704e+02,3.189418168523795316e+01,2.280491300939216330e+02,2.202970126760723986e+02,5.814858899092407228e+04,4.662170122749483880e+01,3.519459931358913991e+02,1.152387882233570963e+04,1.497598644715959360e+01,1.105247920626165433e+05,3.718862159922292676e+01,1.976569416104748370e+03,6.719903942986674110e+02,3.876381407025650105e+02,1.624102662447147623e+03,1.013462833797238818e+04,5.325897966879928447e+00,4.691708697661108090e+03
2.193632010546280791e-10,2.335012894065058902e+02,3.469016796284350221e+03,4.015185861819871661e+03,1.838402367930564765e+02,2.896482583818098533e+02,5.413573628172723602e+02,2.833953192349617020e+05,4.285856520997499501e+03,4.359512194133062847e+06,3.879778067839579890e+05,3.532390391161290463e+06,1.556063713502956787e+06,9.089551344395827925e+01,7.455616713306789279e+03,1.597982115982994458e+02,3.274329502576663624e+06,2.263343594435464752e+02,1.221666886985205565e+03,1.365062746764135966e+02,1.571088615195409022e+07,2.296687596528130816e+05,8.598805870926525677e+04,1.081503434857162210e+04,1.885993511949014792e+05,6.833752231132977613e+03,1.725004811600788912e+02,2.417849719258713748e+01,5.749887425415945472e+02,1.929719941062657628e+06,8.523590867923530823e+00,5.013568323362891306e+02,8.487261905252431461e+04,7.582042497056226793e+00,3.116767618564142613e+05,5.893607425940133544e+04,1.324845423686235790e+03,4.942010370079835724e+01,6.758893510296539375e+01,6.061957144526548684e+06,3.599375261582258827e+04,4.713327199817657238e+05,3.484698501157640014e+06,1.638282984780996412e+04,6.276344394375796583e+02,3.834173837022591033e+04,3.440951248471634472e+02,1.099929287391422986e+04,5.288465063249887521e+01,2.079771463405635643e+02,2.460537792721368078e+02,2.777935192381359286e+01,1.985546909777369251e+02,1.918475284944433383e+02,5.062571115008164634e+04,4.059536731231796836e+01,3.064262126095611620e+02,1.003310795212450103e+04,1.303944611365643880e+01,9.622067846156372980e+04,3.239070834743851890e+01,1.720973981940376916e+03,5.850498080955551359e+02,3.374953983143558389e+02,1.414021737759303278e+03,8.822390603656456733e+03,4.638972859654423075e+00,4.084680516952204925e+03
2.244901136170612005e-10,2.033941860517207942e+02,3.022147636497645180e+03,3.496228104597978017e+03,1.600691241993730785e+02,2.523084560166680603e+02,4.713511310792620179e+02,2.467206962815322331e+05,3.731298177186908561e+03,3.795359070380663034e+06,3.377772729417724186e+05,3.075248780497274362e+06,1.354685134650544962e+06,7.917399825917308931e+01,6.490944658173158132e+03,1.391349850318758001e+02,2.850604561585393269e+06,1.970552257967769947e+02,1.063642457901668422e+03,1.188993060985448267e+02,1.367760619781345129e+07,1.999556079594242037e+05,7.149145732383817085e+04,9.415868202969229969e+03,1.641954074198579765e+05,5.949752786177344205e+03,1.502357583677083994e+02,2.105552128745397411e+01,5.003909282394949400e+02,1.679928916508071823e+06,7.423257800141116469e+00,4.367087491795315941e+02,7.388918510763988888e+04,6.604566541935476209e+00,2.713404974035321502e+05,5.130868964722076635e+04,1.153543889767659493e+03,4.303230462761136721e+01,5.887520884095083318e+01,5.277584098528744653e+06,3.133972896146546191e+04,4.103341807235901942e+05,3.033723893360543996e+06,1.426260623559086162e+04,5.464549487224369386e+02,3.337971847371046169e+04,2.996068639963602891e+02,9.578198127434738126e+03,4.606259821784978215e+01,1.811033909386005973e+02,2.142269156972031681e+02,2.419595403851629456e+01,1.728758633297976530e+02,1.670747509224235614e+02,4.407624982150255528e+04,3.534834169933642301e+01,2.667953111922871017e+02,8.735224265918797755e+03,1.135339882134040224e+01,8.376788813119060069e+04,2.821244932800714977e+01,1.498440536100541294e+03,5.093590857665123508e+02,2.938401905880967320e+02,1.231121002416704414e+03,7.680044926266848961e+03,4.040747257079708277e+00,3.556202307663481406e+03
2.297368513475109809e-10,1.771738401945009400e+02,2.632931656669632048e+03,3.044376404155970249e+03,1.393727172044000042e+02,2.197885350716974528e+02,4.104005675361000840e+02,2.147925101402704604e+05,3.248503743528065115e+03,3.304217161884333473e+06,2.940729725497955806e+05,2.677271368014273234e+06,1.179369538564292248e+06,6.896585034854690832e+01,5.651105588558712043e+03,1.211445429629374786e+02,2.481717207597629167e+06,1.715644208031146718e+02,9.260631138263433968e+02,1.035658996825025184e+02,1.190748343956150860e+07,1.740871766155741643e+05,5.943935777746509120e+04,8.197745017145605743e+03,1.429495632454515144e+05,5.180128368861445779e+03,1.308473686489707859e+02,1.833619375052801104e+01,4.354643170327544226e+02,1.462471456928230822e+06,6.465090985654722289e+00,3.804069728909546484e+02,6.432722384849983064e+04,5.753268805690722409e+00,2.362247097881704394e+05,4.466847587426644895e+04,1.004399123143473162e+03,3.747053481488396898e+01,5.128631452612173547e+01,4.594714696954735555e+06,2.728767901196164894e+04,3.572303179108469049e+05,2.641115779490150046e+06,1.241679088505820255e+04,4.757778760056632450e+02,2.905989797882801213e+04,2.608726161614908960e+02,8.340815780037424702e+03,4.012153991079480875e+01,1.577040434267285036e+02,1.865177391481568066e+02,2.107530460765892144e+01,1.505189454635723507e+02,1.455032790457741783e+02,3.837423678052259493e+04,3.077981630813978597e+01,2.322913171012929467e+02,7.605267422401131626e+03,9.885436085692813180e+00,7.292680428053227661e+04,2.457375890445050004e+01,1.304691513414174779e+03,4.434623781181368827e+02,2.558330331527861006e+02,1.071883382630170672e+03,6.685597357904544879e+03,3.519758947765921242e+00,3.096108688849540158e+03
2.351062147756735509e-10,1.543380584923189929e+02,2.293922926268631272e+03,2.650950560045414022e+03,1.213532235615387123e+02,1.914657900105774786e+02,3.573340338609660876e+02,1.869964480078833003e+05,2.828185727035197942e+03,2.876637052605345845e+06,2.560241878231864539e+05,2.330800688399171457e+06,1.026743648457905860e+06,6.007552025097530191e+01,4.919944187111061183e+03,1.054810855831307919e+02,2.160570112024026923e+06,1.493717225498795642e+02,8.062832977274975974e+02,9.021224909658197078e+01,1.036645761149453931e+07,1.515659256623948168e+05,4.941948396241230512e+04,7.137236406693185927e+03,1.244531014200869831e+05,4.510078719977156652e+03,1.139634950101140873e+02,1.596831845315988296e+01,3.789557169667049266e+02,1.273162264242990175e+06,5.630711466310480695e+00,3.313730738576189196e+02,5.600276009642382269e+04,5.011847295683288905e+00,2.056537198613612563e+05,3.888766433905033773e+04,8.745446163337179541e+02,3.262794455575113517e+01,4.467692474939195080e+01,4.000212607597030234e+06,2.375972260952579018e+04,3.109993337731318898e+05,2.299319899744810071e+06,1.080986745481625076e+04,4.142442737117346496e+02,2.529915830309036392e+04,2.271479852096256877e+02,7.263386804619748546e+03,3.494762088372343811e+01,1.373297419635404708e+02,1.623934327216143743e+02,1.835760129815935926e+01,1.310541233833059493e+02,1.267192025062408050e+02,3.341000636046551517e+04,2.680202583035966057e+01,2.022508627526189571e+02,6.621507321287825107e+03,8.607343010496954605e+00,6.348882438650904805e+04,2.140490690320948275e+01,1.136002860463431716e+03,3.860922510931944771e+02,2.227430810309130891e+02,9.332469535283455571e+02,5.819901114384951143e+03,3.066027705198055564e+00,2.695549894724669684e+03
2.406010698846649006e-10,1.344495712344067329e+02,1.998637841863850326e+03,2.308393403549916457e+03,1.056643236566005868e+02,1.667980140518525332e+02,3.111315015953296665e+02,1.627977076816618792e+05,2.462258660604687066e+03,2.504392352930484805e+06,2.228990095065900823e+05,2.029170389138937229e+06,8.938707953942954773e+05,5.233274031401554538e+01,4.283396003905055295e+03,9.184355867853619770e+01,1.880984546753440984e+06,1.300503509575163719e+02,7.019998169993654074e+02,7.858253556443165166e+01,9.024876948478227481e+06,1.319587058669233811e+05,4.108910100621372112e+04,6.213946034697682990e+03,1.083502029659956606e+05,3.926718927766259185e+03,9.926040460429700829e+01,1.390645091671322042e+01,3.297742684111424865e+02,1.108357787212211872e+06,4.904117216963699732e+00,2.886680450853654065e+02,4.875563055899056053e+04,4.366107453575504671e+00,1.790393028730510559e+05,3.385502380345539859e+04,7.614847722256815814e+02,2.841150841745456646e+01,3.892049935503894886e+01,3.482641657032468356e+06,2.068805690398451407e+04,2.707516837620598380e+05,2.001759753003333230e+06,9.410916554151666787e+03,3.606710530655594198e+02,2.202513902032678379e+04,1.977848937649763741e+02,6.325225706828001421e+03,3.044170767242844633e+01,1.195892576851305051e+02,1.413901315453148584e+02,1.599077412069974002e+01,1.141072026924585003e+02,1.103621461884390698e+02,2.908808550078763074e+04,2.333855999246704016e+01,1.760964237197551086e+02,5.765026037484517474e+03,7.494555592043641745e+00,5.527234587447100785e+04,1.864517916121918262e+01,9.891324048085522236e+02,3.361453000401090208e+02,1.939340684687655596e+02,8.125460338026548470e+02,5.066288015880576495e+03,2.670863608712942927e+00,2.346821498839583455e+03
2.462243496407784605e-10,1.171276357329446256e+02,1.741430693866720503e+03,2.010125479970169181e+03,9.200450946292673393e+01,1.453130886374687805e+02,2.709049319758660772e+02,1.417307062440924637e+05,2.143683526072912628e+03,2.180321401325997431e+06,1.940602539735168684e+05,1.766576947982867714e+06,7.781944063202530378e+05,4.558925488258384462e+01,3.729216839820309815e+03,7.996986307912487746e+01,1.637581487771775573e+06,1.132287569952901123e+02,6.112075346928206727e+02,6.845401454040525380e+01,7.856927572851504199e+06,1.148884249732437602e+05,3.416328413919037848e+04,5.410117190829130777e+03,9.433110058118369489e+04,3.418831541287951040e+03,8.645622860673009313e+01,1.211102478901237944e+01,2.869704212945258632e+02,9.648860980853986694e+05,4.271375656143027832e+00,2.514742703228070297e+02,4.244640179469492432e+04,3.803689607607998457e+00,1.558693688969204668e+05,2.947371989301598296e+04,6.630469050909088082e+02,2.474023639345592329e+01,3.390685573645859563e+01,3.032045780878925230e+06,1.801365225898000426e+04,2.357129584838906885e+05,1.742710041816503275e+06,8.193020740882950122e+03,3.140282248284462412e+02,1.917484539233411851e+04,1.722191189131109752e+02,5.508322850167806791e+03,2.651748406042177919e+01,1.041419728559191924e+02,1.231039990498186825e+02,1.392948530533713480e+01,9.935241058409300763e+01,9.611834428404070252e+01,2.532535688351599310e+04,2.032289423290566788e+01,1.533252092708549412e+02,5.019353864438447999e+03,6.525688258769271499e+00,4.811927139507580432e+04,1.624171136706474883e+01,8.612574946658106683e+02,2.926609202131555207e+02,1.688520685239288639e+02,7.074599042077173863e+02,4.410247635760789308e+03,2.326700162176440490e+00,2.043216177215773769e+03
