# This data is taken from: https://arxiv.org/abs/2005.03544
# Adaptation: added in frequencies in Hz corresponding to T in GeV
#
### Effective degrees of freedom for the energy density and for the entropy density in the Standard Model.
### Data points are spaced over the interval in log(T).
### 
### K. Saikawa and S. Shirai (2020).
#
T[GeV] f[Hz] g_*rho g_*s
1e-05 1.4203701573381745e-13 3.38308 3.93094
1.05e-05 1.4913886652050832e-13 3.38308 3.93094
1.1025e-05 1.5659580984653376e-13 3.38308 3.93094
1.15763e-05 1.6442631052393908e-13 3.38308 3.93094
1.21551e-05 1.7264741299461243e-13 3.38308 3.93094
1.27628e-05 1.812790024407565e-13 3.38308 3.93094
1.3401e-05 1.9034380478488875e-13 3.38308 3.93094
1.4071e-05 1.9986028483905451e-13 3.38308 3.93094
1.47746e-05 2.0985400926608593e-13 3.38308 3.93094
1.55133e-05 2.2034628361834301e-13 3.38308 3.93094
1.62889e-05 2.313626745586579e-13 3.38308 3.93094
1.71034e-05 2.4293158949017733e-13 3.38308 3.93094
1.79586e-05 2.550785950757335e-13 3.38308 3.93094
1.88565e-05 2.678320987184729e-13 3.38308 3.93094
1.97993e-05 2.812233485618572e-13 3.38308 3.93094
2.07893e-05 2.952850131195051e-13 3.38308 3.93094
2.18287e-05 3.1004834053487814e-13 3.38308 3.93094
2.29202e-05 3.255516808022243e-13 3.38308 3.93094
2.40662e-05 3.4182962800896586e-13 3.38309 3.93094
2.52695e-05 3.5892096737218847e-13 3.38309 3.93094
2.6533e-05 3.7686705126082394e-13 3.38309 3.93095
2.78596e-05 3.9571052775509395e-13 3.38311 3.93096
2.92526e-05 4.154974757801725e-13 3.38314 3.93098
3.07152e-05 4.3627329759775017e-13 3.38319 3.93103
3.2251e-05 4.58091093259018e-13 3.3833 3.93113
3.38635e-05 4.810011021325421e-13 3.38349 3.93131
3.55567e-05 5.050643586910707e-13 3.38384 3.93162
3.73346e-05 5.303401173636211e-13 3.38442 3.93215
3.92013e-05 5.56895422436903e-13 3.38539 3.93302
4.11614e-05 5.848042928612703e-13 3.38693 3.93442
4.32194e-05 6.141467171103458e-13 3.38932 3.9366
4.53804e-05 6.45017217401945e-13 3.39292 3.93989
4.76494e-05 6.775188134946731e-13 3.39821 3.94472
5.00319e-05 7.117694984523378e-13 3.40577 3.95165
5.25335e-05 7.479044956973172e-13 3.41632 3.96133
5.51602e-05 7.860776080959826e-13 3.4307 3.97455
5.79182e-05 8.264624103360524e-13 3.44988 3.99222
6.08141e-05 8.692549080789639e-13 3.47492 4.01533
6.38548e-05 9.146713756981467e-13 3.50696 4.04496
6.70475e-05 9.629528835072306e-13 3.54722 4.08223
7.03999e-05 1.014354147575727e-12 3.59687 4.12826
7.39199e-05 1.0691490399116321e-12 3.6571 4.18415
7.76159e-05 1.1276166161656574e-12 3.72896 4.25091
8.14967e-05 1.1900527677307248e-12 3.81343 4.3294
8.55715e-05 1.2567423361257948e-12 3.91125 4.42033
8.98501e-05 1.3279769167815474e-12 4.023 4.5242
9.43426e-05 1.4040347128498618e-12 4.149 4.64128
